Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201604,April 2016,6,1,1,Imports,12,Algeria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22222,,14453709,,,0
HS,2016,201604,April 2016,6,1,1,Imports,12,Algeria,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,603,,129219,,,0
HS,2016,201604,April 2016,6,1,1,Imports,12,Algeria,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2585,,1833287,,,0
HS,2016,201604,April 2016,6,1,1,Imports,12,Algeria,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19034,,12491202,,,0
HS,2016,201601,January 2016,6,1,1,Imports,12,Algeria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7309,,1511156,,,0
HS,2016,201601,January 2016,6,1,1,Imports,12,Algeria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,10186,,,0
HS,2016,201601,January 2016,6,1,1,Imports,12,Algeria,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,3044,,,0
HS,2016,201601,January 2016,6,1,1,Imports,12,Algeria,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7260,,1497926,,,0
HS,2016,201602,February 2016,6,1,1,Imports,12,Algeria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,767981,,,0
HS,2016,201602,February 2016,6,1,1,Imports,12,Algeria,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8663,,758972,,,0
HS,2016,201602,February 2016,6,1,1,Imports,12,Algeria,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9009,,,0
HS,2016,201603,March 2016,6,1,1,Imports,12,Algeria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5555,,4189548,,,0
HS,2016,201603,March 2016,6,1,1,Imports,12,Algeria,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3194,,1053340,,,0
