Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201603,March 2016,6,1,1,Imports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,3501,,,0
HS,2016,201609,September 2016,6,1,1,Imports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,9490,,,0
HS,2016,201610,October 2016,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,4583,,,0
HS,2016,201612,December 2016,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,1693,,,0
HS,2016,201606,June 2016,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,1366,,,0
HS,2016,201605,May 2016,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,3485,,,0
HS,2016,201603,March 2016,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,3501,,,0
HS,2016,201609,September 2016,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,58,,14773,,,0
HS,2016,201602,February 2016,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,582,,,0
HS,2016,201604,April 2016,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,1880,,,0
HS,2016,201608,August 2016,6,1,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,1412,,,0
HS,2016,201608,August 2016,6,1,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,1412,,,0
HS,2016,201608,August 2016,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,3428,,,0
HS,2016,201608,August 2016,6,1,3,Re-exports,28,Antigua and Barbuda,,500,Montserrat,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,1412,,,0
HS,2016,201608,August 2016,6,1,2,Exports,28,Antigua and Barbuda,,500,Montserrat,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,1412,,,0
HS,2016,201610,October 2016,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,4583,,,0
HS,2016,201612,December 2016,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,1693,,,0
HS,2016,201606,June 2016,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,1366,,,0
HS,2016,201605,May 2016,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,3485,,,0
HS,2016,201609,September 2016,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,5283,,,0
HS,2016,201602,February 2016,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,582,,,0
HS,2016,201604,April 2016,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,1880,,,0
HS,2016,201608,August 2016,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,3428,,,0
