Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,51,Armenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,93259,,,0
HS,2016,201601,January 2016,6,1,1,Imports,51,Armenia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,93259,,,0
HS,2016,201602,February 2016,6,1,1,Imports,51,Armenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,113689,,,0
HS,2016,201602,February 2016,6,1,1,Imports,51,Armenia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,8712,,,0
HS,2016,201602,February 2016,6,1,1,Imports,51,Armenia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,101272,,,0
HS,2016,201602,February 2016,6,1,1,Imports,51,Armenia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,388,,,0
HS,2016,201602,February 2016,6,1,1,Imports,51,Armenia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,3318,,,0
HS,2016,201606,June 2016,6,1,1,Imports,51,Armenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1352,,497288,,,0
HS,2016,201606,June 2016,6,1,1,Imports,51,Armenia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,139,,41786,,,0
HS,2016,201606,June 2016,6,1,1,Imports,51,Armenia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,407,,30429,,,0
HS,2016,201606,June 2016,6,1,1,Imports,51,Armenia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,554,,,0
HS,2016,201606,June 2016,6,1,1,Imports,51,Armenia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,790,,421953,,,0
HS,2016,201606,June 2016,6,1,1,Imports,51,Armenia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,2567,,,0
HS,2016,201604,April 2016,6,1,1,Imports,51,Armenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,9268,,,0
