Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,40,Austria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8100,,5606041,,,0
HS,2016,201601,January 2016,6,1,1,Imports,40,Austria,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2200,,722983,,,0
HS,2016,201601,January 2016,6,1,1,Imports,40,Austria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,415851,,,0
HS,2016,201601,January 2016,6,1,1,Imports,40,Austria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3700,,2919114,,,0
HS,2016,201601,January 2016,6,1,1,Imports,40,Austria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1500,,981125,,,0
HS,2016,201601,January 2016,6,1,1,Imports,40,Austria,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,566968,,,0
HS,2016,201601,January 2016,6,1,2,Exports,40,Austria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1444,,,0
HS,2016,201601,January 2016,6,1,2,Exports,40,Austria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,32623,,,0
HS,2016,201601,January 2016,6,1,2,Exports,40,Austria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8419291,,,0
HS,2016,201601,January 2016,6,1,2,Exports,40,Austria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7500,,8385223,,,0
HS,2016,201602,February 2016,6,1,1,Imports,40,Austria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8500,,4672527,,,0
HS,2016,201602,February 2016,6,1,1,Imports,40,Austria,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,74112,,,0
HS,2016,201602,February 2016,6,1,1,Imports,40,Austria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2700,,1340889,,,0
HS,2016,201602,February 2016,6,1,1,Imports,40,Austria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2900,,2276539,,,0
HS,2016,201602,February 2016,6,1,1,Imports,40,Austria,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,456721,,,0
HS,2016,201602,February 2016,6,1,1,Imports,40,Austria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2200,,524266,,,0
HS,2016,201602,February 2016,6,1,2,Exports,40,Austria,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2100,,989485,,,0
HS,2016,201602,February 2016,6,1,2,Exports,40,Austria,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2000,,140160,,,0
HS,2016,201602,February 2016,6,1,2,Exports,40,Austria,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2008,,,0
HS,2016,201602,February 2016,6,1,2,Exports,40,Austria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,105716,,,0
HS,2016,201602,February 2016,6,1,2,Exports,40,Austria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6656,,,0
HS,2016,201602,February 2016,6,1,2,Exports,40,Austria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,23125466,,,0
HS,2016,201602,February 2016,6,1,2,Exports,40,Austria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12200,,21881442,,,0
HS,2016,201603,March 2016,6,1,1,Imports,40,Austria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5042009,,,0
HS,2016,201603,March 2016,6,1,1,Imports,40,Austria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,152869,,,0
HS,2016,201603,March 2016,6,1,1,Imports,40,Austria,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1500,,688389,,,0
HS,2016,201603,March 2016,6,1,1,Imports,40,Austria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,125608,,,0
HS,2016,201603,March 2016,6,1,1,Imports,40,Austria,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,30137,,,0
HS,2016,201603,March 2016,6,1,1,Imports,40,Austria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3000,,2505914,,,0
HS,2016,201603,March 2016,6,1,1,Imports,40,Austria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3300,,1100865,,,0
HS,2016,201603,March 2016,6,1,1,Imports,40,Austria,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,438228,,,0
HS,2016,201603,March 2016,6,1,2,Exports,40,Austria,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1865,,,0
HS,2016,201603,March 2016,6,1,2,Exports,40,Austria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2253,,,0
HS,2016,201603,March 2016,6,1,2,Exports,40,Austria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,183450,,,0
HS,2016,201603,March 2016,6,1,2,Exports,40,Austria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12000,,21899823,,,0
HS,2016,201603,March 2016,6,1,2,Exports,40,Austria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,22087391,,,0
HS,2016,201604,April 2016,6,1,1,Imports,40,Austria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6804001,,,0
HS,2016,201604,April 2016,6,1,1,Imports,40,Austria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,110952,,,0
HS,2016,201604,April 2016,6,1,1,Imports,40,Austria,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1700,,580829,,,0
HS,2016,201604,April 2016,6,1,1,Imports,40,Austria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,900,,288498,,,0
HS,2016,201604,April 2016,6,1,1,Imports,40,Austria,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,19968,,,0
