Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,137308,,,0
HS,2016,201602,February 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,226,,1738721,,,0
HS,2016,201610,October 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,373,,28521,,,0
HS,2016,201606,June 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,320,,21526,,,0
HS,2016,201608,August 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,124,,119298,,,0
HS,2016,201607,July 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,177,,73511,,,0
HS,2016,201612,December 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6287,,2102977,,,0
HS,2016,201604,April 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,346,,346033,,,0
HS,2016,201609,September 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,853,,612121,,,0
HS,2016,201605,May 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,47101,,,0
HS,2016,201611,November 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1322,,1038571,,,0
HS,2016,201603,March 2016,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,64,,52227,,,0
HS,2016,201602,February 2016,6,1,1,Imports,31,Azerbaijan,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,54,,11265,,,0
HS,2016,201607,July 2016,6,1,1,Imports,31,Azerbaijan,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,16619,,,0
