Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1041,,702378,,,0
HS,2016,201608,August 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,198,,271374,,,0
HS,2016,201608,August 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,188,,253894,,,0
HS,2016,201608,August 2016,6,1,1,Imports,48,Bahrain,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,5008,,,0
HS,2016,201608,August 2016,6,1,1,Imports,48,Bahrain,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,12471,,,0
HS,2016,201605,May 2016,6,1,1,Imports,48,Bahrain,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,1312498,,,0
HS,2016,201605,May 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1270,,1369180,,,0
HS,2016,201605,May 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,107,,56023,,,0
HS,2016,201605,May 2016,6,1,1,Imports,48,Bahrain,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,563,,659,,,0
HS,2016,201604,April 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,845,,656688,,,0
HS,2016,201604,April 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,695,,623863,,,0
HS,2016,201604,April 2016,6,1,1,Imports,48,Bahrain,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,150,,32825,,,0
HS,2016,201603,March 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,384,,304386,,,0
HS,2016,201603,March 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,378,,304034,,,0
HS,2016,201602,February 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,455,,587420,,,0
HS,2016,201602,February 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,366,,551540,,,0
HS,2016,201602,February 2016,6,1,1,Imports,48,Bahrain,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89,,35880,,,0
HS,2016,201601,January 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1041,,702378,,,0
HS,2016,201607,July 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,537,,554872,,,0
HS,2016,201607,July 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,502,,442667,,,0
HS,2016,201607,July 2016,6,1,1,Imports,48,Bahrain,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,31108,,,0
HS,2016,201607,July 2016,6,1,1,Imports,48,Bahrain,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,81097,,,0
HS,2016,201609,September 2016,6,1,1,Imports,48,Bahrain,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,913,,,0
HS,2016,201609,September 2016,6,1,1,Imports,48,Bahrain,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,190,,65221,,,0
HS,2016,201609,September 2016,6,1,1,Imports,48,Bahrain,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,304,,242400,,,0
HS,2016,201609,September 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,495,,308533,,,0
HS,2016,201612,December 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,810,,416934,,,0
HS,2016,201612,December 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,470,,262600,,,0
HS,2016,201612,December 2016,6,1,1,Imports,48,Bahrain,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,340,,154335,,,0
HS,2016,201603,March 2016,6,1,1,Imports,48,Bahrain,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,352,,,0
HS,2016,201606,June 2016,6,1,1,Imports,48,Bahrain,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2020,,640262,,,0
HS,2016,201606,June 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,506,,256183,,,0
HS,2016,201606,June 2016,6,1,1,Imports,48,Bahrain,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,3435,,,0
HS,2016,201606,June 2016,6,1,1,Imports,48,Bahrain,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,430,,153797,,,0
HS,2016,201606,June 2016,6,1,1,Imports,48,Bahrain,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,62005,,,0
HS,2016,201606,June 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3043,,1117298,,,0
HS,2016,201606,June 2016,6,1,1,Imports,48,Bahrain,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1615,,,0
HS,2016,201610,October 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1134,,2815036,,,0
HS,2016,201610,October 2016,6,1,1,Imports,48,Bahrain,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,931,,1396066,,,0
HS,2016,201610,October 2016,6,1,1,Imports,48,Bahrain,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1312498,,,0
HS,2016,201610,October 2016,6,1,1,Imports,48,Bahrain,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,135,,86497,,,0
HS,2016,201610,October 2016,6,1,1,Imports,48,Bahrain,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,5008,,,0
HS,2016,201610,October 2016,6,1,1,Imports,48,Bahrain,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,14966,,,0
HS,2016,201611,November 2016,6,1,1,Imports,48,Bahrain,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2560,,1304457,,,0
HS,2016,201611,November 2016,6,1,1,Imports,48,Bahrain,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,540,,659024,,,0
HS,2016,201611,November 2016,6,1,1,Imports,48,Bahrain,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2020,,645433,,,0
