Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,52,Barbados,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,16804,,,0
HS,2016,201601,January 2016,6,1,1,Imports,52,Barbados,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,428,,35594,,,0
HS,2016,201601,January 2016,6,1,1,Imports,52,Barbados,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,250,,9034,,,0
HS,2016,201601,January 2016,6,1,1,Imports,52,Barbados,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,774,,70534,,,0
HS,2016,201601,January 2016,6,1,1,Imports,52,Barbados,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,3778,,,0
HS,2016,201601,January 2016,6,1,1,Imports,52,Barbados,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,5324,,,0
HS,2016,201601,January 2016,6,1,2,Exports,52,Barbados,,212,Dominica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1094,,,0
HS,2016,201601,January 2016,6,1,2,Exports,52,Barbados,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,4637,,,0
HS,2016,201601,January 2016,6,1,2,Exports,52,Barbados,,308,Grenada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,2163,,,0
HS,2016,201601,January 2016,6,1,2,Exports,52,Barbados,,659,Saint Kitts and Nevis,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,751,,,0
HS,2016,201601,January 2016,6,1,2,Exports,52,Barbados,,662,Saint Lucia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,629,,,0
HS,2016,201601,January 2016,6,1,3,Re-exports,52,Barbados,,659,Saint Kitts and Nevis,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,751,,,0
HS,2016,201601,January 2016,6,1,3,Re-exports,52,Barbados,,308,Grenada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,2163,,,0
HS,2016,201601,January 2016,6,1,3,Re-exports,52,Barbados,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,4008,,,0
HS,2016,201601,January 2016,6,1,3,Re-exports,52,Barbados,,212,Dominica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1094,,,0
HS,2016,201602,February 2016,6,1,1,Imports,52,Barbados,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,392,,180558,,,0
