Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1063,,982200,,,0
HS,2016,201601,January 2016,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,203,,140400,,,0
HS,2016,201601,January 2016,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,855,,820000,,,0
HS,2016,201601,January 2016,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,21800,,,0
HS,2016,201602,February 2016,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,64,,9600,,,0
HS,2016,201602,February 2016,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,64,,9600,,,0
HS,2016,201603,March 2016,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,257,,105300,,,0
HS,2016,201603,March 2016,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,121,,77000,,,0
HS,2016,201603,March 2016,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,23500,,,0
HS,2016,201603,March 2016,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,4800,,,0
HS,2016,201604,April 2016,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2837,,188200,,,0
HS,2016,201604,April 2016,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,56000,,,0
HS,2016,201604,April 2016,6,1,1,Imports,112,Belarus,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,14000,,,0
HS,2016,201604,April 2016,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2696,,102500,,,0
HS,2016,201604,April 2016,6,1,1,Imports,112,Belarus,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,15700,,,0
HS,2016,201605,May 2016,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2471,,653600,,,0
HS,2016,201605,May 2016,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,10800,,,0
HS,2016,201605,May 2016,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2408,,634400,,,0
HS,2016,201605,May 2016,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,58,,8400,,,0
HS,2016,201606,June 2016,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1088,,315700,,,0
HS,2016,201606,June 2016,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1088,,315700,,,0
HS,2016,201607,July 2016,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9270,,2654900,,,0
HS,2016,201607,July 2016,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,265,,302100,,,0
