Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7501,,97082,,,0
HS,2016,201609,September 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4612,,287268,,,0
HS,2016,201606,June 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6568,,75011,,,0
HS,2016,201612,December 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1109,,53031,,,0
HS,2016,201605,May 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,523,,71661,,,0
HS,2016,201611,November 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,998,,62871,,,0
HS,2016,201603,March 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,512,,68010,,,0
HS,2016,201607,July 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5921,,4822277,,,0
HS,2016,201608,August 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,672,,103340,,,0
HS,2016,201602,February 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5079,,388166,,,0
HS,2016,201604,April 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,523,,68519,,,0
HS,2016,201610,October 2016,6,1,1,Imports,204,Benin,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2053,,124611,,,0
HS,2016,201612,December 2016,6,1,1,Imports,204,Benin,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1396,,,0
HS,2016,201609,September 2016,6,1,1,Imports,204,Benin,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,1725,,,0
HS,2016,201601,January 2016,6,1,1,Imports,204,Benin,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,298,,32630,,,0
HS,2016,201609,September 2016,6,1,1,Imports,204,Benin,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,542,,49829,,,0
HS,2016,201606,June 2016,6,1,1,Imports,204,Benin,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,210,,31355,,,0
HS,2016,201612,December 2016,6,1,1,Imports,204,Benin,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1031,,32223,,,0
HS,2016,201605,May 2016,6,1,1,Imports,204,Benin,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,523,,71661,,,0
HS,2016,201611,November 2016,6,1,1,Imports,204,Benin,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,414,,60116,,,0
HS,2016,201603,March 2016,6,1,1,Imports,204,Benin,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,396,,60089,,,0
HS,2016,201607,July 2016,6,1,1,Imports,204,Benin,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5847,,4794255,,,0
HS,2016,201608,August 2016,6,1,1,Imports,204,Benin,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,609,,87766,,,0
