Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201604,April 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,428,,302042,,,0
HS,2016,201604,April 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,428,,302042,,,0
HS,2016,201601,January 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,132,,57755,,,0
HS,2016,201601,January 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,132,,57755,,,0
HS,2016,201609,September 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9602,,1657724,,,0
HS,2016,201609,September 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9602,,1657724,,,0
HS,2016,201607,July 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,269,,120663,,,0
HS,2016,201607,July 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,269,,120663,,,0
HS,2016,201606,June 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16300,,1753323,,,0
HS,2016,201606,June 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16300,,1753323,,,0
HS,2016,201606,June 2016,6,1,2,Exports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,6708,,,0
HS,2016,201605,May 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10204,,1677286,,,0
HS,2016,201605,May 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10204,,1677286,,,0
HS,2016,201603,March 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8519,,1308589,,,0
HS,2016,201603,March 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8519,,1308589,,,0
HS,2016,201602,February 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7904,,599791,,,0
HS,2016,201602,February 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7904,,599791,,,0
HS,2016,201612,December 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,238,,225066,,,0
HS,2016,201612,December 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,238,,225066,,,0
HS,2016,201611,November 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15307,,2061990,,,0
HS,2016,201611,November 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15307,,2061990,,,0
HS,2016,201610,October 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7118,,795554,,,0
HS,2016,201610,October 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7118,,795554,,,0
HS,2016,201606,June 2016,6,1,3,Re-exports,68,Bolivia,,188,Costa Rica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,6708,,,0
HS,2016,201606,June 2016,6,1,2,Exports,68,Bolivia,,188,Costa Rica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,6708,,,0
HS,2016,201606,June 2016,6,1,3,Re-exports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,6708,,,0
HS,2016,201608,August 2016,6,1,1,Imports,68,Bolivia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,237,,146671,,,0
HS,2016,201608,August 2016,6,1,1,Imports,68,Bolivia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,237,,146671,,,0
