Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201605,May 2016,6,1,3,Re-exports,124,Canada,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,4483272,,,0
HS,2016,201605,May 2016,6,1,1,Imports,124,Canada,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1830032,,,0
HS,2016,201605,May 2016,6,1,2,Exports,124,Canada,,332,Haiti,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,3670,,,0
HS,2016,201605,May 2016,6,1,2,Exports,124,Canada,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,57,,26472,,,0
HS,2016,201609,September 2016,6,1,2,Exports,124,Canada,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,27018,,,0
HS,2016,201609,September 2016,6,1,2,Exports,124,Canada,,52,Barbados,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,5386,,,0
HS,2016,201609,September 2016,6,1,2,Exports,124,Canada,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1831,,,0
HS,2016,201609,September 2016,6,1,2,Exports,124,Canada,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,21661,,,0
HS,2016,201609,September 2016,6,1,2,Exports,124,Canada,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14291,,6581419,,,0
HS,2016,201609,September 2016,6,1,2,Exports,124,Canada,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2659,,1224776,,,0
HS,2016,201609,September 2016,6,1,1,Imports,124,Canada,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,568312,,,0
HS,2016,201609,September 2016,6,1,1,Imports,124,Canada,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9059116,,,0
HS,2016,201612,December 2016,6,1,2,Exports,124,Canada,,68,Bolivia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,4941,,,0
HS,2016,201612,December 2016,6,1,2,Exports,124,Canada,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,776,,357536,,,0
HS,2016,201612,December 2016,6,1,2,Exports,124,Canada,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,914,,420896,,,0
HS,2016,201612,December 2016,6,1,2,Exports,124,Canada,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67,,30773,,,0
HS,2016,201612,December 2016,6,1,2,Exports,124,Canada,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,421,,193718,,,0
HS,2016,201612,December 2016,6,1,2,Exports,124,Canada,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,363,,167287,,,0
