Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201610,October 2016,6,1,1,Imports,446,"China, Macao SAR",,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,8391,,,0
HS,2016,201610,October 2016,6,1,1,Imports,446,"China, Macao SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,12853,,,0
HS,2016,201610,October 2016,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4832,,2811011,,,0
HS,2016,201610,October 2016,6,1,1,Imports,446,"China, Macao SAR",,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,4255,,,0
HS,2016,201610,October 2016,6,1,1,Imports,446,"China, Macao SAR",,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4402,,2560696,,,0
HS,2016,201610,October 2016,6,1,1,Imports,446,"China, Macao SAR",,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,374,,217529,,,0
HS,2016,201610,October 2016,6,1,1,Imports,446,"China, Macao SAR",,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,7286,,,0
HS,2016,201611,November 2016,6,1,1,Imports,446,"China, Macao SAR",,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,95,,55233,,,0
HS,2016,201611,November 2016,6,1,1,Imports,446,"China, Macao SAR",,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,17074,,,0
HS,2016,201611,November 2016,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1130,,657173,,,0
HS,2016,201611,November 2016,6,1,1,Imports,446,"China, Macao SAR",,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,19997,,,0
HS,2016,201611,November 2016,6,1,1,Imports,446,"China, Macao SAR",,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,918,,534047,,,0
HS,2016,201611,November 2016,6,1,1,Imports,446,"China, Macao SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,12855,,,0
HS,2016,201611,November 2016,6,1,1,Imports,446,"China, Macao SAR",,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,17967,,,0
HS,2016,201606,June 2016,6,1,1,Imports,446,"China, Macao SAR",,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,18067,,,0
HS,2016,201606,June 2016,6,1,1,Imports,446,"China, Macao SAR",,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1613,,,0
HS,2016,201606,June 2016,6,1,1,Imports,446,"China, Macao SAR",,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,90,,52284,,,0
HS,2016,201606,June 2016,6,1,1,Imports,446,"China, Macao SAR",,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,19267,,,0
HS,2016,201606,June 2016,6,1,1,Imports,446,"China, Macao SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,6422,,,0
HS,2016,201606,June 2016,6,1,1,Imports,446,"China, Macao SAR",,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,6750,,,0
HS,2016,201606,June 2016,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,179,,104403,,,0
HS,2016,201612,December 2016,6,1,1,Imports,446,"China, Macao SAR",,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,331,,522479,,,0
HS,2016,201612,December 2016,6,1,1,Imports,446,"China, Macao SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,980909,,,0
HS,2016,201612,December 2016,6,1,1,Imports,446,"China, Macao SAR",,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,28050,,,0
HS,2016,201612,December 2016,6,1,1,Imports,446,"China, Macao SAR",,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2193,,,0
HS,2016,201612,December 2016,6,1,1,Imports,446,"China, Macao SAR",,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,9130,,,0
HS,2016,201612,December 2016,6,1,1,Imports,446,"China, Macao SAR",,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,98,,7332,,,0
HS,2016,201612,December 2016,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,465,,1550093,,,0
HS,2016,201604,April 2016,6,1,1,Imports,446,"China, Macao SAR",,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,40285,,,0
HS,2016,201604,April 2016,6,1,1,Imports,446,"China, Macao SAR",,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,29350,,,0
HS,2016,201604,April 2016,6,1,1,Imports,446,"China, Macao SAR",,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,43,,,0
HS,2016,201604,April 2016,6,1,1,Imports,446,"China, Macao SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1928,,,0
HS,2016,201604,April 2016,6,1,1,Imports,446,"China, Macao SAR",,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,10403,,,0
HS,2016,201604,April 2016,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,141,,82010,,,0
HS,2016,201602,February 2016,6,1,1,Imports,446,"China, Macao SAR",,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,158,,92181,,,0
HS,2016,201602,February 2016,6,1,1,Imports,446,"China, Macao SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,5125,,,0
