Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201609,September 2016,6,1,1,Imports,156,China,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9221,,5363839,,,0
HS,2016,201607,July 2016,6,1,2,Exports,156,China,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2,,,0
HS,2016,201606,June 2016,6,1,2,Exports,156,China,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,11175,,,0
HS,2016,201606,June 2016,6,1,2,Exports,156,China,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7270,,3348061,,,0
HS,2016,201603,March 2016,6,1,1,Imports,156,China,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74013,,43053487,,,0
HS,2016,201605,May 2016,6,1,2,Exports,156,China,,288,Ghana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,13015,,,0
HS,2016,201608,August 2016,6,1,2,Exports,156,China,,324,Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,13254,,,0
HS,2016,201609,September 2016,6,1,2,Exports,156,China,,496,Mongolia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,2197,,,0
HS,2016,201612,December 2016,6,1,2,Exports,156,China,,496,Mongolia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,5267,,,0
HS,2016,201602,February 2016,6,1,1,Imports,156,China,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5656,,3290260,,,0
HS,2016,201605,May 2016,6,1,2,Exports,156,China,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,2800,,,0
HS,2016,201605,May 2016,6,1,2,Exports,156,China,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,248,,,0
HS,2016,201605,May 2016,6,1,1,Imports,156,China,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16777,,9759393,,,0
HS,2016,201602,February 2016,6,1,2,Exports,156,China,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2259,,1040542,,,0
HS,2016,201603,March 2016,6,1,2,Exports,156,China,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10148,,4673615,,,0
HS,2016,201603,March 2016,6,1,2,Exports,156,China,,586,Pakistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,289,,133007,,,0
HS,2016,201607,July 2016,6,1,2,Exports,156,China,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,133,,61200,,,0
HS,2016,201605,May 2016,6,1,2,Exports,156,China,,384,Côte d'Ivoire,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,135,,62078,,,0
HS,2016,201610,October 2016,6,1,2,Exports,156,China,,204,Benin,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,11232,,,0
HS,2016,201603,March 2016,6,1,2,Exports,156,China,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,28002,,,0
HS,2016,201606,June 2016,6,1,2,Exports,156,China,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,16560,,,0
HS,2016,201602,February 2016,6,1,1,Imports,156,China,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18434,,10723192,,,0
HS,2016,201610,October 2016,6,1,2,Exports,156,China,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,14500,,,0
HS,2016,201611,November 2016,6,1,1,Imports,156,China,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,638,,371333,,,0
HS,2016,201610,October 2016,6,1,2,Exports,156,China,,496,Mongolia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,13503,,,0
HS,2016,201605,May 2016,6,1,2,Exports,156,China,,524,Nepal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,865,,398563,,,0
HS,2016,201609,September 2016,6,1,2,Exports,156,China,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2,,,0
HS,2016,201612,December 2016,6,1,2,Exports,156,China,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5749,,2647842,,,0
HS,2016,201612,December 2016,6,1,2,Exports,156,China,,454,Malawi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,395,,182137,,,0
HS,2016,201609,September 2016,6,1,2,Exports,156,China,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,147,,67619,,,0
HS,2016,201612,December 2016,6,1,2,Exports,156,China,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13263,,6107921,,,0
HS,2016,201612,December 2016,6,1,2,Exports,156,China,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,594,,273600,,,0
HS,2016,201608,August 2016,6,1,2,Exports,156,China,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,523,,240688,,,0
HS,2016,201603,March 2016,6,1,2,Exports,156,China,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,181,,83500,,,0
HS,2016,201608,August 2016,6,1,2,Exports,156,China,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4567,,2103384,,,0
HS,2016,201608,August 2016,6,1,2,Exports,156,China,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,17300,,,0
HS,2016,201612,December 2016,6,1,2,Exports,156,China,,8,Albania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,586,,270000,,,0
HS,2016,201607,July 2016,6,1,2,Exports,156,China,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1475,,679192,,,0
HS,2016,201612,December 2016,6,1,2,Exports,156,China,,504,Morocco,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,601,,276750,,,0
HS,2016,201608,August 2016,6,1,2,Exports,156,China,,646,Rwanda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,18300,,,0
HS,2016,201604,April 2016,6,1,2,Exports,156,China,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16388,,7547186,,,0
HS,2016,201604,April 2016,6,1,1,Imports,156,China,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10985,,6390121,,,0
HS,2016,201611,November 2016,6,1,2,Exports,156,China,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10578,,4871691,,,0
HS,2016,201604,April 2016,6,1,1,Imports,156,China,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3057,,1778485,,,0
HS,2016,201605,May 2016,6,1,2,Exports,156,China,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,391,,180133,,,0
HS,2016,201612,December 2016,6,1,2,Exports,156,China,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,107,,49157,,,0
HS,2016,201604,April 2016,6,1,1,Imports,156,China,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,83576,,,0
HS,2016,201611,November 2016,6,1,2,Exports,156,China,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,314,,144438,,,0
HS,2016,201605,May 2016,6,1,2,Exports,156,China,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,146,,67443,,,0
HS,2016,201605,May 2016,6,1,2,Exports,156,China,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,8460,,,0
HS,2016,201608,August 2016,6,1,2,Exports,156,China,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,403,,185496,,,0
HS,2016,201611,November 2016,6,1,2,Exports,156,China,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1256,,578572,,,0
HS,2016,201610,October 2016,6,1,2,Exports,156,China,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1462,,673222,,,0
HS,2016,201611,November 2016,6,1,2,Exports,156,China,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,24000,,,0
HS,2016,201605,May 2016,6,1,2,Exports,156,China,,566,Nigeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,81,,37260,,,0
