Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7492,,3076767,,,0
HS,2016,201601,January 2016,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,101,,65473,,,0
HS,2016,201601,January 2016,6,1,1,Imports,170,Colombia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2158,,174815,,,0
HS,2016,201601,January 2016,6,1,1,Imports,170,Colombia,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,605,,52362,,,0
HS,2016,201601,January 2016,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3293,,1447694,,,0
HS,2016,201601,January 2016,6,1,1,Imports,170,Colombia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,392,,365002,,,0
HS,2016,201601,January 2016,6,1,1,Imports,170,Colombia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,417,,435507,,,0
HS,2016,201601,January 2016,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,527,,535913,,,0
HS,2016,201602,February 2016,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5714,,1559028,,,0
HS,2016,201602,February 2016,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,487,,203571,,,0
HS,2016,201602,February 2016,6,1,1,Imports,170,Colombia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,156,,70044,,,0
HS,2016,201602,February 2016,6,1,1,Imports,170,Colombia,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1110,,106245,,,0
HS,2016,201602,February 2016,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,420,,29206,,,0
HS,2016,201602,February 2016,6,1,1,Imports,170,Colombia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,535,,558515,,,0
HS,2016,201602,February 2016,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2937,,549944,,,0
HS,2016,201602,February 2016,6,1,1,Imports,170,Colombia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,39331,,,0
HS,2016,201602,February 2016,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2172,,,0
HS,2016,201602,February 2016,6,1,2,Exports,170,Colombia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,28797,,,0
HS,2016,201602,February 2016,6,1,2,Exports,170,Colombia,,188,Costa Rica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,296675,,,0
HS,2016,201602,February 2016,6,1,2,Exports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,195,,325472,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1192,,289688,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2500,,208130,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,771,,336277,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,22157,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,153,,68666,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,51061,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6739,,2564051,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,516,,789595,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,919,,172644,,,0
HS,2016,201603,March 2016,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,615,,625833,,,0
HS,2016,201603,March 2016,6,1,2,Exports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,48464,,,0
HS,2016,201603,March 2016,6,1,2,Exports,170,Colombia,,222,El Salvador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,37512,,,0
HS,2016,201603,March 2016,6,1,2,Exports,170,Colombia,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,4800,,,0
HS,2016,201603,March 2016,6,1,2,Exports,170,Colombia,,340,Honduras,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,6152,,,0
HS,2016,201604,April 2016,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14513,,13863827,,,0
HS,2016,201604,April 2016,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,976,,474470,,,0
HS,2016,201604,April 2016,6,1,1,Imports,170,Colombia,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3297,,365199,,,0
HS,2016,201604,April 2016,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4878,,10228868,,,0
HS,2016,201604,April 2016,6,1,1,Imports,170,Colombia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,523,,97581,,,0
HS,2016,201604,April 2016,6,1,1,Imports,170,Colombia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,392,,365107,,,0
HS,2016,201604,April 2016,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2262,,225309,,,0
HS,2016,201604,April 2016,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2184,,2107294,,,0
HS,2016,201605,May 2016,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11259,,6555199,,,0
