Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,690,,83566,,,0
HS,2016,201601,January 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,673,,82463,,,0
HS,2016,201601,January 2016,6,1,1,Imports,178,Congo,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,1103,,,0
HS,2016,201602,February 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,201,,19505,,,0
HS,2016,201602,February 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,148,,13507,,,0
HS,2016,201602,February 2016,6,1,1,Imports,178,Congo,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,5998,,,0
HS,2016,201603,March 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,8453,,,0
HS,2016,201603,March 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,8453,,,0
HS,2016,201604,April 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1844,,196049,,,0
HS,2016,201604,April 2016,6,1,1,Imports,178,Congo,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,339,,,0
HS,2016,201604,April 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,179,,24571,,,0
HS,2016,201604,April 2016,6,1,1,Imports,178,Congo,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1660,,171139,,,0
HS,2016,201605,May 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,588,,15582,,,0
HS,2016,201605,May 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,565,,13016,,,0
HS,2016,201605,May 2016,6,1,1,Imports,178,Congo,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,35,,,0
HS,2016,201605,May 2016,6,1,1,Imports,178,Congo,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,2531,,,0
HS,2016,201606,June 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10070,,17017,,,0
HS,2016,201606,June 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10057,,14962,,,0
HS,2016,201606,June 2016,6,1,1,Imports,178,Congo,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,2054,,,0
HS,2016,201607,July 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,486,,18756,,,0
HS,2016,201607,July 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,457,,15137,,,0
HS,2016,201607,July 2016,6,1,1,Imports,178,Congo,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,3619,,,0
HS,2016,201608,August 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,157,,21231,,,0
HS,2016,201608,August 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,135,,17687,,,0
HS,2016,201608,August 2016,6,1,1,Imports,178,Congo,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,3544,,,0
HS,2016,201609,September 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,728,,11583,,,0
HS,2016,201609,September 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,728,,11583,,,0
HS,2016,201610,October 2016,6,1,1,Imports,178,Congo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,8648,,,0
HS,2016,201610,October 2016,6,1,1,Imports,178,Congo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,3610,,,0
HS,2016,201610,October 2016,6,1,1,Imports,178,Congo,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,5038,,,0
