Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,2,Exports,208,Denmark,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,277701,,,0
HS,2016,201601,January 2016,6,1,2,Exports,208,Denmark,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,39725,,,0
HS,2016,201601,January 2016,6,1,2,Exports,208,Denmark,,304,Greenland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,14886,,,0
HS,2016,201601,January 2016,6,1,2,Exports,208,Denmark,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,450,,163234,,,0
HS,2016,201601,January 2016,6,1,2,Exports,208,Denmark,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,5528,,,0
HS,2016,201601,January 2016,6,1,2,Exports,208,Denmark,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,53849,,,0
HS,2016,201601,January 2016,6,1,2,Exports,208,Denmark,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,480,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,330,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,721,,903638,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,396,,257251,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,153,,70641,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,234,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,114504,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,138,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,23857,,,0
HS,2016,201601,January 2016,6,1,1,Imports,208,Denmark,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1370601,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1944869,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,35404,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,35,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,63850,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,937,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,680,,140269,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,16234,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,490,,377921,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,416415,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,102,,82210,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,328,,811509,,,0
HS,2016,201603,March 2016,6,1,1,Imports,208,Denmark,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,84,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,203574,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,164,,405329,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,143,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,936,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,429,,1000688,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,287,,109686,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,415978,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1612,,3255822,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,271,,400016,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,553006,,,0
HS,2016,201602,February 2016,6,1,1,Imports,208,Denmark,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,93,,166466,,,0
HS,2016,201602,February 2016,6,1,2,Exports,208,Denmark,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,76,,126781,,,0
HS,2016,201602,February 2016,6,1,2,Exports,208,Denmark,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,208,,736082,,,0
HS,2016,201602,February 2016,6,1,2,Exports,208,Denmark,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1157,,1133922,,,0
HS,2016,201602,February 2016,6,1,2,Exports,208,Denmark,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,240,,9321,,,0
HS,2016,201602,February 2016,6,1,2,Exports,208,Denmark,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,485,,223152,,,0
HS,2016,201602,February 2016,6,1,2,Exports,208,Denmark,,304,Greenland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,117,,22919,,,0
HS,2016,201602,February 2016,6,1,2,Exports,208,Denmark,,234,Faeroe Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,2002,,,0
HS,2016,201602,February 2016,6,1,2,Exports,208,Denmark,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,5810,,,0
HS,2016,201602,February 2016,6,1,2,Exports,208,Denmark,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,7855,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1879184,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,349,,637945,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1843,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,73,,165586,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,959,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,140,,45987,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,7857,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,641,,295049,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,385,,570857,,,0
HS,2016,201604,April 2016,6,1,1,Imports,208,Denmark,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,153101,,,0
HS,2016,201603,March 2016,6,1,2,Exports,208,Denmark,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,4665,,,0
HS,2016,201603,March 2016,6,1,2,Exports,208,Denmark,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,4742328,,,0
HS,2016,201603,March 2016,6,1,2,Exports,208,Denmark,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,19775,,,0
HS,2016,201603,March 2016,6,1,2,Exports,208,Denmark,,304,Greenland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,245,,19177,,,0
HS,2016,201603,March 2016,6,1,2,Exports,208,Denmark,,234,Faeroe Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,21702,,,0
