Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,218,Ecuador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3455,,1009475,,,0
HS,2016,201601,January 2016,6,1,1,Imports,218,Ecuador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,20908,,,0
HS,2016,201601,January 2016,6,1,1,Imports,218,Ecuador,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,157,,21954,,,0
HS,2016,201601,January 2016,6,1,1,Imports,218,Ecuador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,236,,96128,,,0
HS,2016,201601,January 2016,6,1,1,Imports,218,Ecuador,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1204,,343986,,,0
HS,2016,201601,January 2016,6,1,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1781,,462416,,,0
HS,2016,201601,January 2016,6,1,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,64083,,,0
HS,2016,201602,February 2016,6,1,1,Imports,218,Ecuador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5259,,5425976,,,0
HS,2016,201602,February 2016,6,1,1,Imports,218,Ecuador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2390,,4367316,,,0
HS,2016,201602,February 2016,6,1,1,Imports,218,Ecuador,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,41584,,,0
HS,2016,201602,February 2016,6,1,1,Imports,218,Ecuador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2729,,880850,,,0
HS,2016,201602,February 2016,6,1,1,Imports,218,Ecuador,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99,,136225,,,0
HS,2016,201603,March 2016,6,1,1,Imports,218,Ecuador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1111,,203081,,,0
HS,2016,201603,March 2016,6,1,1,Imports,218,Ecuador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,896,,126504,,,0
