Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,258,French Polynesia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,344,,204979,,,0
HS,2016,201601,January 2016,6,1,1,Imports,258,French Polynesia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,7255,,,0
HS,2016,201601,January 2016,6,1,1,Imports,258,French Polynesia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,112,,28324,,,0
HS,2016,201601,January 2016,6,1,1,Imports,258,French Polynesia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,179,,168261,,,0
HS,2016,201601,January 2016,6,1,1,Imports,258,French Polynesia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1139,,,0
HS,2016,201602,February 2016,6,1,1,Imports,258,French Polynesia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,50012,,,0
HS,2016,201602,February 2016,6,1,1,Imports,258,French Polynesia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,5069,,,0
HS,2016,201602,February 2016,6,1,1,Imports,258,French Polynesia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,1061,,,0
HS,2016,201602,February 2016,6,1,1,Imports,258,French Polynesia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,1779,,,0
HS,2016,201602,February 2016,6,1,1,Imports,258,French Polynesia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,40127,,,0
HS,2016,201602,February 2016,6,1,1,Imports,258,French Polynesia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,1975,,,0
HS,2016,201603,March 2016,6,1,1,Imports,258,French Polynesia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,987,,344044,,,0
HS,2016,201603,March 2016,6,1,1,Imports,258,French Polynesia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,488,,92777,,,0
HS,2016,201603,March 2016,6,1,1,Imports,258,French Polynesia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,227,,28678,,,0
HS,2016,201603,March 2016,6,1,1,Imports,258,French Polynesia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,50124,,,0
HS,2016,201603,March 2016,6,1,1,Imports,258,French Polynesia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,265,,171853,,,0
HS,2016,201603,March 2016,6,1,1,Imports,258,French Polynesia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,612,,,0
