Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,32056,,,0
HS,2016,201601,January 2016,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,32056,,,0
HS,2016,201603,March 2016,6,1,1,Imports,268,Georgia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,71,,10043,,,0
HS,2016,201603,March 2016,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,590,,308739,,,0
HS,2016,201603,March 2016,6,1,1,Imports,268,Georgia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2583,,,0
HS,2016,201603,March 2016,6,1,1,Imports,268,Georgia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,162,,14957,,,0
HS,2016,201603,March 2016,6,1,1,Imports,268,Georgia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,1621,,,0
HS,2016,201603,March 2016,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,1500,,,0
HS,2016,201603,March 2016,6,1,1,Imports,268,Georgia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,1371,,,0
HS,2016,201603,March 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,887,,340815,,,0
HS,2016,201602,February 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,341,,576606,,,0
HS,2016,201602,February 2016,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,309,,551718,,,0
HS,2016,201602,February 2016,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,8541,,,0
HS,2016,201602,February 2016,6,1,1,Imports,268,Georgia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,16346,,,0
HS,2016,201603,March 2016,6,1,2,Exports,268,Georgia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,6244,,,0
HS,2016,201603,March 2016,6,1,2,Exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,6244,,,0
HS,2016,201604,April 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,208,,33373,,,0
HS,2016,201604,April 2016,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,21865,,,0
HS,2016,201604,April 2016,6,1,1,Imports,268,Georgia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,143,,9608,,,0
HS,2016,201604,April 2016,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,1900,,,0
HS,2016,201605,May 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,147,,61942,,,0
HS,2016,201605,May 2016,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,117,,55015,,,0
HS,2016,201605,May 2016,6,1,1,Imports,268,Georgia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,4119,,,0
HS,2016,201605,May 2016,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,2808,,,0
HS,2016,201607,July 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,786,,352274,,,0
HS,2016,201607,July 2016,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,716,,335977,,,0
HS,2016,201607,July 2016,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,15347,,,0
HS,2016,201607,July 2016,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,950,,,0
HS,2016,201606,June 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2250,,1211877,,,0
HS,2016,201606,June 2016,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,568,,941072,,,0
HS,2016,201606,June 2016,6,1,1,Imports,268,Georgia,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,121,,17761,,,0
HS,2016,201606,June 2016,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,86372,,,0
HS,2016,201606,June 2016,6,1,1,Imports,268,Georgia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1473,,166672,,,0
HS,2016,201608,August 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3680,,1867125,,,0
HS,2016,201608,August 2016,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,851,,602136,,,0
HS,2016,201608,August 2016,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,499,,980763,,,0
HS,2016,201608,August 2016,6,1,1,Imports,268,Georgia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1032,,,0
HS,2016,201608,August 2016,6,1,1,Imports,268,Georgia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2045,,219911,,,0
HS,2016,201608,August 2016,6,1,1,Imports,268,Georgia,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,205,,1504,,,0
HS,2016,201608,August 2016,6,1,1,Imports,268,Georgia,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,61780,,,0
HS,2016,201608,August 2016,6,1,2,Exports,268,Georgia,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,680,,24856,,,0
HS,2016,201608,August 2016,6,1,2,Exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,680,,24856,,,0
HS,2016,201610,October 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4592,,509522,,,0
HS,2016,201610,October 2016,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,3375,,,0
HS,2016,201610,October 2016,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,155,,38926,,,0
HS,2016,201610,October 2016,6,1,1,Imports,268,Georgia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,14703,,,0
HS,2016,201610,October 2016,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,2734,,,0
HS,2016,201610,October 2016,6,1,1,Imports,268,Georgia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4318,,449784,,,0
HS,2016,201609,September 2016,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,850,,1509479,,,0
HS,2016,201609,September 2016,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,32035,,,0
HS,2016,201609,September 2016,6,1,1,Imports,268,Georgia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,54,,6848,,,0
HS,2016,201609,September 2016,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,454,,1309019,,,0
