Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1370,,2758660,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10656,,20988837,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,228,,120004,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,794,,1136988,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3904,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,478,,84604,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,440,,313831,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,521,,738700,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,13366,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,206,,25330,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1769,,2673785,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,981,,1145563,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,205,,355839,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,10659,,,0
HS,2016,201612,December 2016,6,1,1,Imports,276,Germany,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,119,,152110,,,0
