Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,58003,,,0
HS,2016,201601,January 2016,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,58003,,,0
HS,2016,201609,September 2016,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20128,,9883972,,,0
HS,2016,201609,September 2016,6,1,1,Imports,300,Greece,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,604430,,,0
HS,2016,201609,September 2016,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4193,,2528368,,,0
HS,2016,201609,September 2016,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14346,,6047220,,,0
HS,2016,201609,September 2016,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,64,,32425,,,0
HS,2016,201609,September 2016,6,1,1,Imports,300,Greece,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,832,,306168,,,0
HS,2016,201609,September 2016,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,93,,365361,,,0
HS,2016,201605,May 2016,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8784,,7483666,,,0
HS,2016,201605,May 2016,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3259,,2168685,,,0
HS,2016,201605,May 2016,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2017,,1438785,,,0
HS,2016,201605,May 2016,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,180,,123970,,,0
HS,2016,201605,May 2016,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,139,,59558,,,0
HS,2016,201605,May 2016,6,1,1,Imports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3189,,3692668,,,0
HS,2016,201602,February 2016,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,113,,130791,,,0
HS,2016,201602,February 2016,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115,,131989,,,0
HS,2016,201602,February 2016,6,1,2,Exports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1198,,,0
HS,2016,201603,March 2016,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,100522,,,0
HS,2016,201603,March 2016,6,1,2,Exports,300,Greece,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,22853,,,0
HS,2016,201603,March 2016,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,39,,77669,,,0
HS,2016,201604,April 2016,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,75978,,,0
HS,2016,201604,April 2016,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,75978,,,0
HS,2016,201606,June 2016,6,1,2,Exports,300,Greece,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89,,7415,,,0
HS,2016,201606,June 2016,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,71736,,,0
HS,2016,201606,June 2016,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,278890,,,0
HS,2016,201606,June 2016,6,1,2,Exports,300,Greece,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,107,,199732,,,0
HS,2016,201606,June 2016,6,1,2,Exports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,7,,,0
HS,2016,201605,May 2016,6,1,2,Exports,300,Greece,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,114,,1544,,,0
HS,2016,201605,May 2016,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,64392,,,0
HS,2016,201605,May 2016,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,152,,65936,,,0
HS,2016,201607,July 2016,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,149,,67305,,,0
