Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,340,Honduras,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4425,,1273642,,,0
HS,2016,201601,January 2016,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,235,,25333,,,0
HS,2016,201601,January 2016,6,1,1,Imports,340,Honduras,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1944,,517462,,,0
HS,2016,201601,January 2016,6,1,1,Imports,340,Honduras,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,356,,266389,,,0
HS,2016,201601,January 2016,6,1,1,Imports,340,Honduras,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,105,,271940,,,0
HS,2016,201601,January 2016,6,1,1,Imports,340,Honduras,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1674,,164677,,,0
HS,2016,201601,January 2016,6,1,1,Imports,340,Honduras,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,12240,,,0
HS,2016,201601,January 2016,6,1,1,Imports,340,Honduras,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,15601,,,0
HS,2016,201602,February 2016,6,1,1,Imports,340,Honduras,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3874,,3743586,,,0
HS,2016,201602,February 2016,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,161,,,0
HS,2016,201602,February 2016,6,1,1,Imports,340,Honduras,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,151,,32662,,,0
HS,2016,201602,February 2016,6,1,1,Imports,340,Honduras,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2902,,3298526,,,0
HS,2016,201602,February 2016,6,1,1,Imports,340,Honduras,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,354,,266389,,,0
HS,2016,201602,February 2016,6,1,1,Imports,340,Honduras,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,20020,,,0
HS,2016,201602,February 2016,6,1,1,Imports,340,Honduras,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,267,,19813,,,0
HS,2016,201602,February 2016,6,1,1,Imports,340,Honduras,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,138,,106015,,,0
HS,2016,201603,March 2016,6,1,1,Imports,340,Honduras,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2241,,953017,,,0
HS,2016,201603,March 2016,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,635,,57721,,,0
HS,2016,201603,March 2016,6,1,1,Imports,340,Honduras,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,7292,,,0
