Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201608,August 2016,6,1,1,Imports,348,Hungary,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3799280,,,0
HS,2016,201608,August 2016,6,1,1,Imports,348,Hungary,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1722,,,0
HS,2016,201608,August 2016,6,1,1,Imports,348,Hungary,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,314,,430196,,,0
HS,2016,201608,August 2016,6,1,1,Imports,348,Hungary,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,675,,496708,,,0
HS,2016,201608,August 2016,6,1,1,Imports,348,Hungary,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4154,,2570985,,,0
HS,2016,201608,August 2016,6,1,1,Imports,348,Hungary,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16012,,,0
HS,2016,201608,August 2016,6,1,1,Imports,348,Hungary,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,469,,165098,,,0
HS,2016,201608,August 2016,6,1,1,Imports,348,Hungary,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,127,,118184,,,0
HS,2016,201608,August 2016,6,1,1,Imports,348,Hungary,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,375,,,0
HS,2016,201604,April 2016,6,1,1,Imports,348,Hungary,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1980,,,0
HS,2016,201604,April 2016,6,1,1,Imports,348,Hungary,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,220952,,,0
HS,2016,201604,April 2016,6,1,1,Imports,348,Hungary,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8077,,6286141,,,0
HS,2016,201604,April 2016,6,1,1,Imports,348,Hungary,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13261,,9084452,,,0
