Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19331,,25509311,,,0
HS,2016,201601,January 2016,6,1,1,Imports,381,Italy,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12097,,9530859,,,0
HS,2016,201601,January 2016,6,1,1,Imports,381,Italy,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2915,,2087960,,,0
HS,2016,201601,January 2016,6,1,1,Imports,381,Italy,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1008,,6035082,,,0
HS,2016,201601,January 2016,6,1,1,Imports,381,Italy,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,95,,433861,,,0
HS,2016,201601,January 2016,6,1,1,Imports,381,Italy,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,223,,198459,,,0
HS,2016,201601,January 2016,6,1,1,Imports,381,Italy,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,823,,316600,,,0
HS,2016,201601,January 2016,6,1,1,Imports,381,Italy,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,3963,,,0
HS,2016,201601,January 2016,6,1,1,Imports,381,Italy,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2143,,6902527,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1184,,455856,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2725,,8857123,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,411,,77370,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,662,,112576,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,36593,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8199,,4529581,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14440,,2247981,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,60880,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,4102,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,759,,170381,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1924,,431503,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,564,,121570,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,5301,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,236,,150839,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38000,,19754147,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1250,,291983,,,0
HS,2016,201601,January 2016,6,1,2,Exports,381,Italy,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5494,,2200509,,,0
HS,2016,201602,February 2016,6,1,1,Imports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26159,,38556306,,,0
HS,2016,201602,February 2016,6,1,1,Imports,381,Italy,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9337,,7944839,,,0
HS,2016,201602,February 2016,6,1,1,Imports,381,Italy,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10758,,4842330,,,0
HS,2016,201602,February 2016,6,1,1,Imports,381,Italy,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1455,,5128778,,,0
HS,2016,201602,February 2016,6,1,1,Imports,381,Italy,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,201522,,,0
HS,2016,201602,February 2016,6,1,1,Imports,381,Italy,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,695,,362378,,,0
HS,2016,201602,February 2016,6,1,1,Imports,381,Italy,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,663,,96356,,,0
HS,2016,201602,February 2016,6,1,1,Imports,381,Italy,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3210,,19980104,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2523,,900267,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4073,,15475092,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,2818,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,10303,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,558,,523831,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6016,,3556935,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3589,,2148981,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1745,,400667,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,63,,1882301,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,504,Morocco,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,218,,49144,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5820,,881419,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8781,,1857329,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1731,,442235,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,176,,182926,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,39777,,30926459,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1245,,297107,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,73849,,,0
HS,2016,201602,February 2016,6,1,2,Exports,381,Italy,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3138,,2241254,,,0
HS,2016,201610,October 2016,6,1,1,Imports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44750,,34824033,,,0
HS,2016,201610,October 2016,6,1,1,Imports,381,Italy,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12293,,8125936,,,0
HS,2016,201610,October 2016,6,1,1,Imports,381,Italy,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,665,,1473998,,,0
HS,2016,201610,October 2016,6,1,1,Imports,381,Italy,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,894,,2465432,,,0
HS,2016,201610,October 2016,6,1,1,Imports,381,Italy,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,790,,344450,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59470,,25461661,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7930,,1474633,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,854,,108783,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9480,,1944869,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9559,,6445978,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,276,,797223,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1039,,210226,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,376,,217436,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2946,,1182558,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,3413,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,3260,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,56447,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,14220,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,600,Paraguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,29903,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1020,,129870,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,64115,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19330,,3019381,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,464,,654296,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2400,,537835,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,303,,38304,,,0
HS,2016,201603,March 2016,6,1,2,Exports,381,Italy,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2714,,8528910,,,0
HS,2016,201603,March 2016,6,1,1,Imports,381,Italy,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2632,,21866190,,,0
HS,2016,201603,March 2016,6,1,1,Imports,381,Italy,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1022,,3897242,,,0
HS,2016,201603,March 2016,6,1,1,Imports,381,Italy,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,344,,396592,,,0
HS,2016,201603,March 2016,6,1,1,Imports,381,Italy,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,235,,926538,,,0
HS,2016,201603,March 2016,6,1,1,Imports,381,Italy,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7444,,3294282,,,0
HS,2016,201603,March 2016,6,1,1,Imports,381,Italy,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17671,,16169016,,,0
HS,2016,201603,March 2016,6,1,1,Imports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29348,,46549860,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28083,,36310174,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2895,,6377551,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16626,,16928697,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,6622,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,773,,3042482,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3069,,3232206,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,193920,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,236,,226866,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1083,,1013016,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3228,,5287109,,,0
HS,2016,201604,April 2016,6,1,1,Imports,381,Italy,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1705,,,0
HS,2016,201604,April 2016,6,1,2,Exports,381,Italy,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6758,,21675974,,,0
HS,2016,201604,April 2016,6,1,2,Exports,381,Italy,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,189,,,0
HS,2016,201604,April 2016,6,1,2,Exports,381,Italy,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,58,,45218,,,0
