Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,2,Exports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,703940,,,0
HS,2016,201601,January 2016,6,1,2,Exports,392,Japan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,698260,,,0
HS,2016,201601,January 2016,6,1,2,Exports,392,Japan,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,5680,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,5474,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,108,,48702,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1547,,950047,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,27249,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,17726,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,289,,82928,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,429584,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,981,,289005,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,512,Oman,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,36650,,,0
HS,2016,201602,February 2016,6,1,2,Exports,392,Japan,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,12729,,,0
HS,2016,201603,March 2016,6,1,2,Exports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1516,,960193,,,0
HS,2016,201603,March 2016,6,1,2,Exports,392,Japan,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1170,,388685,,,0
HS,2016,201603,March 2016,6,1,2,Exports,392,Japan,,140,Central African Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,95,,31768,,,0
HS,2016,201603,March 2016,6,1,2,Exports,392,Japan,,232,Eritrea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,175,,58538,,,0
HS,2016,201603,March 2016,6,1,2,Exports,392,Japan,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,16529,,,0
HS,2016,201603,March 2016,6,1,2,Exports,392,Japan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,458393,,,0
HS,2016,201603,March 2016,6,1,2,Exports,392,Japan,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,6279,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5232,,1874592,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1365,,454373,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,21053,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2494,,661270,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,414,Kuwait,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,12704,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,104354,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,35212,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,175,,128171,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,498,Rep. of Moldova,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,68,,23281,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,6193,,,0
HS,2016,201604,April 2016,6,1,2,Exports,392,Japan,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,87,,76963,,,0
