Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201607,July 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2759,,303085,,,0
HS,2016,201607,July 2016,6,1,1,Imports,417,Kyrgyzstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,655,,112822,,,0
HS,2016,201607,July 2016,6,1,1,Imports,417,Kyrgyzstan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,616,,138159,,,0
HS,2016,201607,July 2016,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1488,,52104,,,0
HS,2016,201603,March 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3873,,690884,,,0
HS,2016,201603,March 2016,6,1,1,Imports,417,Kyrgyzstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,250,,74200,,,0
HS,2016,201603,March 2016,6,1,1,Imports,417,Kyrgyzstan,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,240,,32882,,,0
HS,2016,201603,March 2016,6,1,1,Imports,417,Kyrgyzstan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3383,,583802,,,0
HS,2016,201601,January 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3078,,617577,,,0
HS,2016,201601,January 2016,6,1,1,Imports,417,Kyrgyzstan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2596,,592973,,,0
HS,2016,201601,January 2016,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,248,,4851,,,0
HS,2016,201601,January 2016,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,234,,19753,,,0
HS,2016,201602,February 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,1297,,,0
HS,2016,201602,February 2016,6,1,1,Imports,417,Kyrgyzstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,1297,,,0
HS,2016,201604,April 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,931,,42282,,,0
HS,2016,201604,April 2016,6,1,1,Imports,417,Kyrgyzstan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,23780,,,0
HS,2016,201604,April 2016,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,700,,7632,,,0
HS,2016,201604,April 2016,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,149,,10870,,,0
HS,2016,201606,June 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3225,,644055,,,0
HS,2016,201606,June 2016,6,1,1,Imports,417,Kyrgyzstan,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,948,,64960,,,0
HS,2016,201606,June 2016,6,1,1,Imports,417,Kyrgyzstan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1760,,402310,,,0
HS,2016,201606,June 2016,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,517,,176785,,,0
HS,2016,201608,August 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1435,,300168,,,0
HS,2016,201608,August 2016,6,1,1,Imports,417,Kyrgyzstan,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,146,,52179,,,0
HS,2016,201608,August 2016,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1289,,247989,,,0
HS,2016,201609,September 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,191,,,0
HS,2016,201609,September 2016,6,1,1,Imports,417,Kyrgyzstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,191,,,0
HS,2016,201610,October 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1565,,219503,,,0
HS,2016,201610,October 2016,6,1,1,Imports,417,Kyrgyzstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,133,,28612,,,0
HS,2016,201610,October 2016,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,76,,16991,,,0
HS,2016,201610,October 2016,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1356,,173900,,,0
HS,2016,201611,November 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3308,,389326,,,0
HS,2016,201611,November 2016,6,1,1,Imports,417,Kyrgyzstan,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,596,,37851,,,0
HS,2016,201611,November 2016,6,1,1,Imports,417,Kyrgyzstan,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,370,,57839,,,0
HS,2016,201611,November 2016,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2342,,293636,,,0
HS,2016,201612,December 2016,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,391,,16662,,,0
HS,2016,201612,December 2016,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,391,,16662,,,0
