Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201607,July 2016,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,28302,,,0
HS,2016,201612,December 2016,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,6044,,,0
HS,2016,201607,July 2016,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,162,,251234,,,0
HS,2016,201603,March 2016,6,1,1,Imports,428,Latvia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,294,,380759,,,0
HS,2016,201602,February 2016,6,1,2,Exports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,7874,,,0
HS,2016,201602,February 2016,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,21509,,,0
HS,2016,201607,July 2016,6,1,1,Imports,428,Latvia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,32143,,,0
HS,2016,201607,July 2016,6,1,1,Imports,428,Latvia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,84936,,,0
HS,2016,201607,July 2016,6,1,1,Imports,428,Latvia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,215,,161477,,,0
HS,2016,201612,December 2016,6,1,1,Imports,428,Latvia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,657,,578428,,,0
HS,2016,201612,December 2016,6,1,1,Imports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1828,,1827215,,,0
HS,2016,201603,March 2016,6,1,1,Imports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,195,,356116,,,0
HS,2016,201607,July 2016,6,1,2,Exports,428,Latvia,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,139,,222932,,,0
HS,2016,201602,February 2016,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,29383,,,0
HS,2016,201602,February 2016,6,1,1,Imports,428,Latvia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,420,,487014,,,0
HS,2016,201602,February 2016,6,1,1,Imports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,935,,1099345,,,0
HS,2016,201605,May 2016,6,1,1,Imports,428,Latvia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,39814,,,0
HS,2016,201601,January 2016,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,11593,,,0
HS,2016,201601,January 2016,6,1,2,Exports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,11024,,,0
HS,2016,201612,December 2016,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,6044,,,0
HS,2016,201608,August 2016,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,15932,,,0
HS,2016,201609,September 2016,6,1,1,Imports,428,Latvia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,70138,,,0
HS,2016,201609,September 2016,6,1,1,Imports,428,Latvia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,610,,313449,,,0
HS,2016,201601,January 2016,6,1,1,Imports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,5321,,,0
HS,2016,201601,January 2016,6,1,1,Imports,428,Latvia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,322,,405060,,,0
HS,2016,201605,May 2016,6,1,1,Imports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,86336,,,0
