Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201608,August 2016,6,1,1,Imports,440,Lithuania,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,79283,,,0
HS,2016,201606,June 2016,6,1,1,Imports,440,Lithuania,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,489,,146697,,,0
HS,2016,201606,June 2016,6,1,1,Imports,440,Lithuania,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1320,,,0
HS,2016,201606,June 2016,6,1,2,Exports,440,Lithuania,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,39429,,,0
HS,2016,201606,June 2016,6,1,2,Exports,440,Lithuania,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,30529,,,0
HS,2016,201606,June 2016,6,1,2,Exports,440,Lithuania,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,24,,,0
HS,2016,201602,February 2016,6,1,2,Exports,440,Lithuania,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,15481,,,0
HS,2016,201602,February 2016,6,1,2,Exports,440,Lithuania,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,135,,198506,,,0
HS,2016,201602,February 2016,6,1,2,Exports,440,Lithuania,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,662,,373568,,,0
HS,2016,201603,March 2016,6,1,2,Exports,440,Lithuania,,268,Georgia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,11087,,,0
HS,2016,201603,March 2016,6,1,2,Exports,440,Lithuania,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,15907,,,0
HS,2016,201603,March 2016,6,1,2,Exports,440,Lithuania,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,132,,159131,,,0
HS,2016,201603,March 2016,6,1,2,Exports,440,Lithuania,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,286202,,,0
HS,2016,201603,March 2016,6,1,1,Imports,440,Lithuania,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,432,,124118,,,0
HS,2016,201603,March 2016,6,1,1,Imports,440,Lithuania,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,727062,,,0
HS,2016,201603,March 2016,6,1,1,Imports,440,Lithuania,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,760,,333697,,,0
HS,2016,201603,March 2016,6,1,1,Imports,440,Lithuania,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1405,,1372608,,,0
HS,2016,201603,March 2016,6,1,2,Exports,440,Lithuania,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,784,,472327,,,0
HS,2016,201609,September 2016,6,1,1,Imports,440,Lithuania,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1363,,498502,,,0
HS,2016,201609,September 2016,6,1,1,Imports,440,Lithuania,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,2382,,,0
HS,2016,201609,September 2016,6,1,1,Imports,440,Lithuania,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,572,,1008570,,,0
HS,2016,201609,September 2016,6,1,1,Imports,440,Lithuania,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,467,,127307,,,0
HS,2016,201609,September 2016,6,1,1,Imports,440,Lithuania,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3524,,2954004,,,0
HS,2016,201609,September 2016,6,1,2,Exports,440,Lithuania,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,84547,,,0
HS,2016,201604,April 2016,6,1,1,Imports,440,Lithuania,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,468,,714629,,,0
HS,2016,201604,April 2016,6,1,1,Imports,440,Lithuania,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,628,,197253,,,0
HS,2016,201604,April 2016,6,1,1,Imports,440,Lithuania,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,102,,168996,,,0
HS,2016,201604,April 2016,6,1,1,Imports,440,Lithuania,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,38581,,,0
HS,2016,201604,April 2016,6,1,1,Imports,440,Lithuania,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1764,,,0
