Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1235,,277013,,,0
HS,2016,201601,January 2016,6,1,1,Imports,454,Malawi,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1140,,271420,,,0
HS,2016,201601,January 2016,6,1,1,Imports,454,Malawi,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,441,,,0
HS,2016,201601,January 2016,6,1,1,Imports,454,Malawi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,5153,,,0
HS,2016,201602,February 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20761,,4687317,,,0
HS,2016,201602,February 2016,6,1,1,Imports,454,Malawi,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15877,,3138413,,,0
HS,2016,201602,February 2016,6,1,1,Imports,454,Malawi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4815,,1538001,,,0
HS,2016,201602,February 2016,6,1,1,Imports,454,Malawi,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,10904,,,0
HS,2016,201603,March 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11938,,2281636,,,0
HS,2016,201603,March 2016,6,1,1,Imports,454,Malawi,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10049,,1929976,,,0
HS,2016,201603,March 2016,6,1,1,Imports,454,Malawi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1683,,340207,,,0
HS,2016,201603,March 2016,6,1,1,Imports,454,Malawi,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1360,,,0
HS,2016,201603,March 2016,6,1,1,Imports,454,Malawi,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,9800,,,0
HS,2016,201603,March 2016,6,1,1,Imports,454,Malawi,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,135,,293,,,0
HS,2016,201604,April 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,256,,,0
HS,2016,201604,April 2016,6,1,1,Imports,454,Malawi,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,256,,,0
HS,2016,201605,May 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,682,,26921,,,0
HS,2016,201605,May 2016,6,1,1,Imports,454,Malawi,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,1099,,,0
HS,2016,201605,May 2016,6,1,1,Imports,454,Malawi,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,112,,12413,,,0
HS,2016,201605,May 2016,6,1,1,Imports,454,Malawi,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,825,,,0
HS,2016,201605,May 2016,6,1,1,Imports,454,Malawi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,3063,,,0
HS,2016,201605,May 2016,6,1,1,Imports,454,Malawi,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1071,,,0
HS,2016,201605,May 2016,6,1,1,Imports,454,Malawi,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,509,,8449,,,0
HS,2016,201606,June 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7664,,1407230,,,0
HS,2016,201606,June 2016,6,1,1,Imports,454,Malawi,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,561117,,,0
HS,2016,201606,June 2016,6,1,1,Imports,454,Malawi,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,841,,,0
HS,2016,201606,June 2016,6,1,1,Imports,454,Malawi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7556,,843727,,,0
HS,2016,201606,June 2016,6,1,1,Imports,454,Malawi,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,76,,1544,,,0
HS,2016,201607,July 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28115,,5771140,,,0
HS,2016,201607,July 2016,6,1,1,Imports,454,Malawi,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25831,,4939467,,,0
HS,2016,201607,July 2016,6,1,1,Imports,454,Malawi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2201,,773535,,,0
HS,2016,201607,July 2016,6,1,1,Imports,454,Malawi,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,54,,2912,,,0
HS,2016,201607,July 2016,6,1,1,Imports,454,Malawi,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,55226,,,0
HS,2016,201608,August 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1424,,,0
HS,2016,201608,August 2016,6,1,1,Imports,454,Malawi,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1424,,,0
HS,2016,201609,September 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4282,,912276,,,0
HS,2016,201609,September 2016,6,1,1,Imports,454,Malawi,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1143,,260423,,,0
HS,2016,201609,September 2016,6,1,1,Imports,454,Malawi,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2401,,438255,,,0
HS,2016,201609,September 2016,6,1,1,Imports,454,Malawi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,598,,212251,,,0
HS,2016,201609,September 2016,6,1,1,Imports,454,Malawi,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,140,,1348,,,0
HS,2016,201610,October 2016,6,1,1,Imports,454,Malawi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3384,,293750,,,0
HS,2016,201610,October 2016,6,1,1,Imports,454,Malawi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3384,,293750,,,0
