Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,2,Exports,458,Malaysia,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,306,,11789,,,0
HS,2016,201601,January 2016,6,1,2,Exports,458,Malaysia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,306,,11789,,,0
HS,2016,201611,November 2016,6,1,2,Exports,458,Malaysia,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,435,,8753,,,0
HS,2016,201611,November 2016,6,1,2,Exports,458,Malaysia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,435,,8753,,,0
HS,2016,201602,February 2016,6,1,2,Exports,458,Malaysia,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,560,,8273,,,0
HS,2016,201602,February 2016,6,1,2,Exports,458,Malaysia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1120,,16546,,,0
HS,2016,201602,February 2016,6,1,2,Exports,458,Malaysia,,446,"China, Macao SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,560,,8273,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47139,,3930146,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2832,,511918,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1824,,17167,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4212,,1131598,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1652,,942446,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,781,,40908,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,57821,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1094,,328256,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30443,,254112,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1696,,215952,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,6445,,,0
HS,2016,201603,March 2016,6,1,1,Imports,458,Malaysia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2350,,423523,,,0
HS,2016,201603,March 2016,6,1,2,Exports,458,Malaysia,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,11093,,,0
HS,2016,201603,March 2016,6,1,2,Exports,458,Malaysia,,96,Brunei Darussalam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,730,,30244,,,0
