Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,470,Malta,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,214094,,,0
HS,2016,201601,January 2016,6,1,1,Imports,470,Malta,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,42473,,,0
HS,2016,201601,January 2016,6,1,1,Imports,470,Malta,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1600,,119167,,,0
HS,2016,201601,January 2016,6,1,1,Imports,470,Malta,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8145,,,0
HS,2016,201601,January 2016,6,1,1,Imports,470,Malta,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,44309,,,0
HS,2016,201602,February 2016,6,1,1,Imports,470,Malta,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2100,,192863,,,0
HS,2016,201602,February 2016,6,1,1,Imports,470,Malta,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1700,,173506,,,0
HS,2016,201602,February 2016,6,1,1,Imports,470,Malta,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,19357,,,0
HS,2016,201603,March 2016,6,1,1,Imports,470,Malta,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1100,,170529,,,0
HS,2016,201603,March 2016,6,1,1,Imports,470,Malta,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1000,,165079,,,0
HS,2016,201603,March 2016,6,1,1,Imports,470,Malta,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,5450,,,0
HS,2016,201604,April 2016,6,1,1,Imports,470,Malta,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,124616,,,0
HS,2016,201604,April 2016,6,1,1,Imports,470,Malta,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,12360,,,0
HS,2016,201604,April 2016,6,1,1,Imports,470,Malta,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,800,,88444,,,0
HS,2016,201604,April 2016,6,1,1,Imports,470,Malta,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,23812,,,0
HS,2016,201605,May 2016,6,1,1,Imports,470,Malta,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,216142,,,0
HS,2016,201605,May 2016,6,1,1,Imports,470,Malta,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,115417,,,0
HS,2016,201605,May 2016,6,1,1,Imports,470,Malta,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,800,,98575,,,0
HS,2016,201605,May 2016,6,1,1,Imports,470,Malta,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2149,,,0
HS,2016,201606,June 2016,6,1,1,Imports,470,Malta,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,205457,,,0
HS,2016,201606,June 2016,6,1,1,Imports,470,Malta,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,32283,,,0
HS,2016,201606,June 2016,6,1,1,Imports,470,Malta,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,900,,166436,,,0
