Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,499,Montenegro,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,121,,33829,,,0
HS,2016,201601,January 2016,6,1,1,Imports,499,Montenegro,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,118,,27272,,,0
HS,2016,201601,January 2016,6,1,1,Imports,499,Montenegro,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,6558,,,0
HS,2016,201602,February 2016,6,1,1,Imports,499,Montenegro,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,325,,169900,,,0
HS,2016,201602,February 2016,6,1,1,Imports,499,Montenegro,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,313,,165615,,,0
HS,2016,201602,February 2016,6,1,1,Imports,499,Montenegro,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,4285,,,0
HS,2016,201603,March 2016,6,1,1,Imports,499,Montenegro,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,679,,176867,,,0
HS,2016,201603,March 2016,6,1,1,Imports,499,Montenegro,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,234,,122544,,,0
HS,2016,201603,March 2016,6,1,1,Imports,499,Montenegro,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,389,,40238,,,0
HS,2016,201603,March 2016,6,1,1,Imports,499,Montenegro,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,14086,,,0
HS,2016,201603,March 2016,6,1,2,Exports,499,Montenegro,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,3059,,,0
