Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201602,February 2016,6,1,1,Imports,540,New Caledonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,687,,280058,,,0
HS,2016,201601,January 2016,6,1,1,Imports,540,New Caledonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,438,,285792,,,0
HS,2016,201602,February 2016,6,1,1,Imports,540,New Caledonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,310,,99501,,,0
HS,2016,201601,January 2016,6,1,1,Imports,540,New Caledonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,294,,112473,,,0
HS,2016,201602,February 2016,6,1,1,Imports,540,New Caledonia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,25822,,,0
HS,2016,201601,January 2016,6,1,1,Imports,540,New Caledonia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,4306,,,0
HS,2016,201601,January 2016,6,1,1,Imports,540,New Caledonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,92785,,,0
HS,2016,201602,February 2016,6,1,1,Imports,540,New Caledonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,8982,,,0
HS,2016,201601,January 2016,6,1,1,Imports,540,New Caledonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,57698,,,0
HS,2016,201601,January 2016,6,1,1,Imports,540,New Caledonia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,18530,,,0
HS,2016,201602,February 2016,6,1,1,Imports,540,New Caledonia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,224,,145753,,,0
