Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201605,May 2016,6,1,1,Imports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6504,,2746777,,,0
HS,2016,201605,May 2016,6,1,1,Imports,512,Oman,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,848,,524962,,,0
HS,2016,201605,May 2016,6,1,1,Imports,512,Oman,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2076,,337194,,,0
HS,2016,201605,May 2016,6,1,1,Imports,512,Oman,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,5823,,,0
HS,2016,201605,May 2016,6,1,1,Imports,512,Oman,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1591,,143092,,,0
HS,2016,201605,May 2016,6,1,1,Imports,512,Oman,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1085,,84234,,,0
HS,2016,201605,May 2016,6,1,1,Imports,512,Oman,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,240312,,,0
HS,2016,201605,May 2016,6,1,1,Imports,512,Oman,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,382398,,,0
HS,2016,201605,May 2016,6,1,1,Imports,512,Oman,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,617,,1028762,,,0
HS,2016,201609,September 2016,6,1,1,Imports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,956,,1179449,,,0
HS,2016,201609,September 2016,6,1,2,Exports,512,Oman,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,86,,,0
HS,2016,201609,September 2016,6,1,1,Imports,512,Oman,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,178,,27170,,,0
