Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,152276,,9494995,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7622,,279018,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3773,,251653,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,103185,,6883414,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8250,,424453,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2190,,149815,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8600,,450648,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11000,,538807,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3800,,238943,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1976,,185478,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1220,,55198,,,0
HS,2016,201601,January 2016,6,1,1,Imports,586,Pakistan,,858,Uruguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,660,,37570,,,0
HS,2016,201603,March 2016,6,1,1,Imports,586,Pakistan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,224288,,11753784,,,0
HS,2016,201603,March 2016,6,1,1,Imports,586,Pakistan,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7221,,267447,,,0
HS,2016,201603,March 2016,6,1,1,Imports,586,Pakistan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45825,,2851197,,,0
HS,2016,201603,March 2016,6,1,1,Imports,586,Pakistan,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,1042,,,0
HS,2016,201603,March 2016,6,1,1,Imports,586,Pakistan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2780,,144453,,,0
HS,2016,201603,March 2016,6,1,1,Imports,586,Pakistan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80573,,4148493,,,0
