Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201602,February 2016,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3397,,839332,,,0
HS,2016,201602,February 2016,6,1,1,Imports,600,Paraguay,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3289,,808943,,,0
HS,2016,201602,February 2016,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,13041,,,0
HS,2016,201602,February 2016,6,1,1,Imports,600,Paraguay,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,17348,,,0
HS,2016,201601,January 2016,6,1,1,Imports,600,Paraguay,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1386,,657469,,,0
HS,2016,201601,January 2016,6,1,1,Imports,600,Paraguay,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,2411,,,0
HS,2016,201607,July 2016,6,1,1,Imports,600,Paraguay,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,10615,,,0
HS,2016,201607,July 2016,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,108,,,0
HS,2016,201610,October 2016,6,1,1,Imports,600,Paraguay,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,14001,,,0
HS,2016,201610,October 2016,6,1,1,Imports,600,Paraguay,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,222,,45246,,,0
HS,2016,201601,January 2016,6,1,1,Imports,600,Paraguay,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,24224,,,0
HS,2016,201607,July 2016,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4591,,898472,,,0
HS,2016,201607,July 2016,6,1,1,Imports,600,Paraguay,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,148,,53582,,,0
HS,2016,201607,July 2016,6,1,1,Imports,600,Paraguay,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4417,,834167,,,0
HS,2016,201601,January 2016,6,1,1,Imports,600,Paraguay,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,8820,,,0
HS,2016,201601,January 2016,6,1,1,Imports,600,Paraguay,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,631,,34812,,,0
HS,2016,201607,July 2016,6,1,2,Exports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,220,,,0
HS,2016,201607,July 2016,6,1,2,Exports,600,Paraguay,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,220,,,0
HS,2016,201601,January 2016,6,1,1,Imports,600,Paraguay,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,135,,86224,,,0
HS,2016,201601,January 2016,6,1,1,Imports,600,Paraguay,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2275,,813960,,,0
HS,2016,201610,October 2016,6,1,1,Imports,600,Paraguay,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51,,21287,,,0
