Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60907,,32075019,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1429,,956117,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49054,,25811767,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3496,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7570,,2617078,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,7482,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,263,,182060,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,720,,83739,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,11089,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,515,,226395,,,0
HS,2016,201603,March 2016,6,1,1,Imports,616,Poland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1249,,2175796,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23242,,22498872,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1636,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17909,,20398583,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3597,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,3617,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,422365,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2991,,471030,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1644,,1047890,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,33700,,,0
HS,2016,201601,January 2016,6,1,1,Imports,616,Poland,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,260,,116454,,,0
HS,2016,201601,January 2016,6,1,2,Exports,616,Poland,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,977,,1472424,,,0
HS,2016,201601,January 2016,6,1,2,Exports,616,Poland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,14174,,,0
HS,2016,201601,January 2016,6,1,2,Exports,616,Poland,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,185,,424907,,,0
HS,2016,201601,January 2016,6,1,2,Exports,616,Poland,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,12117,,,0
HS,2016,201601,January 2016,6,1,2,Exports,616,Poland,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,491,,688339,,,0
HS,2016,201601,January 2016,6,1,2,Exports,616,Poland,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3566,,,0
HS,2016,201601,January 2016,6,1,2,Exports,616,Poland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,694,,910676,,,0
HS,2016,201601,January 2016,6,1,2,Exports,616,Poland,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,54137,,,0
