Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,16432,,,0
HS,2016,201603,March 2016,6,1,2,Exports,620,Portugal,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1210,,162066,,,0
HS,2016,201605,May 2016,6,1,2,Exports,620,Portugal,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1198,,,0
HS,2016,201605,May 2016,6,1,2,Exports,620,Portugal,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,5214,,,0
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,119979,,,0
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,685,,896142,,,0
HS,2016,201605,May 2016,6,1,1,Imports,620,Portugal,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,603,,1708873,,,0
HS,2016,201605,May 2016,6,1,1,Imports,620,Portugal,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,195900,,,0
HS,2016,201605,May 2016,6,1,1,Imports,620,Portugal,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14004,,2157985,,,0
HS,2016,201605,May 2016,6,1,1,Imports,620,Portugal,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,930,,,0
HS,2016,201605,May 2016,6,1,1,Imports,620,Portugal,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,31,,,0
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,2351,,,0
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,190,,1854810,,,0
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1712,,,0
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30923,,2065320,,,0
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2713,,2007249,,,0
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4049,,1943549,,,0
HS,2016,201603,March 2016,6,1,1,Imports,620,Portugal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38663,,8907544,,,0
HS,2016,201603,March 2016,6,1,2,Exports,620,Portugal,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,117,,313862,,,0
HS,2016,201603,March 2016,6,1,2,Exports,620,Portugal,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,426,,746738,,,0
HS,2016,201603,March 2016,6,1,2,Exports,620,Portugal,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,30522,,,0
HS,2016,201603,March 2016,6,1,2,Exports,620,Portugal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1780,,1253188,,,0
HS,2016,201602,February 2016,6,1,2,Exports,620,Portugal,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,372,,720655,,,0
HS,2016,201602,February 2016,6,1,2,Exports,620,Portugal,,132,Cabo Verde,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,26446,,,0
HS,2016,201602,February 2016,6,1,2,Exports,620,Portugal,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,39067,,,0
HS,2016,201602,February 2016,6,1,2,Exports,620,Portugal,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1172,,222046,,,0
HS,2016,201602,February 2016,6,1,2,Exports,620,Portugal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5442,,1158128,,,0
HS,2016,201605,May 2016,6,1,2,Exports,620,Portugal,,837,Bunkers,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,12,,,0
HS,2016,201605,May 2016,6,1,2,Exports,620,Portugal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2520,,801543,,,0
HS,2016,201609,September 2016,6,1,1,Imports,620,Portugal,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,917,,628158,,,0
HS,2016,201609,September 2016,6,1,1,Imports,620,Portugal,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2346,,1431032,,,0
HS,2016,201609,September 2016,6,1,1,Imports,620,Portugal,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1183,,,0
HS,2016,201609,September 2016,6,1,1,Imports,620,Portugal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5763,,8355176,,,0
HS,2016,201609,September 2016,6,1,1,Imports,620,Portugal,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,270,,85033,,,0
