Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201604,April 2016,6,1,1,Imports,643,Russian Federation,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18275,,14906277,,,0
HS,2016,201604,April 2016,6,1,2,Exports,643,Russian Federation,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3512,,1832062,,,0
HS,2016,201604,April 2016,6,1,2,Exports,643,Russian Federation,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,38549,,,0
HS,2016,201605,May 2016,6,1,1,Imports,643,Russian Federation,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2347,,1129531,,,0
HS,2016,201605,May 2016,6,1,1,Imports,643,Russian Federation,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1067,,,0
HS,2016,201605,May 2016,6,1,2,Exports,643,Russian Federation,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,843,,,0
HS,2016,201605,May 2016,6,1,2,Exports,643,Russian Federation,,417,Kyrgyzstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1745,,,0
HS,2016,201602,February 2016,6,1,1,Imports,643,Russian Federation,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1454,,2053945,,,0
HS,2016,201611,November 2016,6,1,2,Exports,643,Russian Federation,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,333,,128494,,,0
HS,2016,201602,February 2016,6,1,2,Exports,643,Russian Federation,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,102464,,,0
HS,2016,201611,November 2016,6,1,2,Exports,643,Russian Federation,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,2786,,,0
HS,2016,201602,February 2016,6,1,2,Exports,643,Russian Federation,,417,Kyrgyzstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,78,,6670,,,0
HS,2016,201604,April 2016,6,1,2,Exports,643,Russian Federation,,112,Belarus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,753,,,0
HS,2016,201601,January 2016,6,1,1,Imports,643,Russian Federation,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7926,,3151797,,,0
HS,2016,201606,June 2016,6,1,1,Imports,643,Russian Federation,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1846,,2264181,,,0
HS,2016,201606,June 2016,6,1,2,Exports,643,Russian Federation,,804,Ukraine,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,54,,,0
HS,2016,201606,June 2016,6,1,2,Exports,643,Russian Federation,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,39083,,,0
HS,2016,201606,June 2016,6,1,2,Exports,643,Russian Federation,,112,Belarus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,215,,146236,,,0
HS,2016,201606,June 2016,6,1,2,Exports,643,Russian Federation,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4476,,1916283,,,0
HS,2016,201606,June 2016,6,1,1,Imports,643,Russian Federation,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7855,,15840086,,,0
HS,2016,201606,June 2016,6,1,2,Exports,643,Russian Federation,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,5331,,,0
HS,2016,201606,June 2016,6,1,2,Exports,643,Russian Federation,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,276,,,0
HS,2016,201606,June 2016,6,1,1,Imports,643,Russian Federation,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,428,,5196144,,,0
HS,2016,201606,June 2016,6,1,1,Imports,643,Russian Federation,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,891,,422661,,,0
HS,2016,201606,June 2016,6,1,1,Imports,643,Russian Federation,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4690,,7957100,,,0
HS,2016,201606,June 2016,6,1,2,Exports,643,Russian Federation,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,25291,,,0
HS,2016,201601,January 2016,6,1,2,Exports,643,Russian Federation,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1011,,554989,,,0
HS,2016,201601,January 2016,6,1,2,Exports,643,Russian Federation,,112,Belarus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,16900,,,0
HS,2016,201601,January 2016,6,1,2,Exports,643,Russian Federation,,566,Nigeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,510,,202356,,,0
HS,2016,201601,January 2016,6,1,2,Exports,643,Russian Federation,,586,Pakistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,7560,,,0
HS,2016,201601,January 2016,6,1,2,Exports,643,Russian Federation,,694,Sierra Leone,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,429,,167748,,,0
HS,2016,201601,January 2016,6,1,2,Exports,643,Russian Federation,,795,Turkmenistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,160425,,,0
