Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,393,,,0
HS,2016,201605,May 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,525,,,0
HS,2016,201605,May 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,1169,,,0
HS,2016,201610,October 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,2178,,,0
HS,2016,201608,August 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,52,Barbados,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,516,,,0
HS,2016,201608,August 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,39,,4647,,,0
HS,2016,201612,December 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,52,Barbados,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,974,,,0
HS,2016,201601,January 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,393,,,0
HS,2016,201602,February 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,7211,,,0
HS,2016,201602,February 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,7211,,,0
HS,2016,201603,March 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,109,,,0
HS,2016,201612,December 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,974,,,0
HS,2016,201603,March 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,81,,2227,,,0
HS,2016,201603,March 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1852,,,0
HS,2016,201603,March 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,83,,4188,,,0
HS,2016,201604,April 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,52,Barbados,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,317,,,0
HS,2016,201604,April 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,317,,,0
HS,2016,201605,May 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,52,Barbados,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,326,,,0
HS,2016,201610,October 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,400,,,0
HS,2016,201609,September 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,442,,,0
HS,2016,201609,September 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,52,Barbados,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,442,,,0
HS,2016,201608,August 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,5162,,,0
HS,2016,201610,October 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,52,Barbados,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,1778,,,0
HS,2016,201605,May 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,2020,,,0
HS,2016,201607,July 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,8620,,,0
HS,2016,201607,July 2016,6,1,1,Imports,659,Saint Kitts and Nevis,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,271,,,0
