Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,686,Senegal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2902,,381562,,,0
HS,2016,201601,January 2016,6,1,1,Imports,686,Senegal,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,1159,,,0
HS,2016,201601,January 2016,6,1,1,Imports,686,Senegal,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2011,,337078,,,0
HS,2016,201601,January 2016,6,1,1,Imports,686,Senegal,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,848,,43325,,,0
HS,2016,201601,January 2016,6,1,2,Exports,686,Senegal,,566,Nigeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3200,,758334,,,0
HS,2016,201601,January 2016,6,1,2,Exports,686,Senegal,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,420,,103497,,,0
HS,2016,201601,January 2016,6,1,2,Exports,686,Senegal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3620,,861831,,,0
HS,2016,201602,February 2016,6,1,1,Imports,686,Senegal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11694,,461696,,,0
HS,2016,201602,February 2016,6,1,1,Imports,686,Senegal,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9573,,178539,,,0
HS,2016,201602,February 2016,6,1,1,Imports,686,Senegal,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2121,,283157,,,0
HS,2016,201602,February 2016,6,1,2,Exports,686,Senegal,,800,Uganda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,22,,,0
HS,2016,201602,February 2016,6,1,2,Exports,686,Senegal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,114,,17091,,,0
HS,2016,201602,February 2016,6,1,2,Exports,686,Senegal,,120,Cameroon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,17069,,,0
HS,2016,201603,March 2016,6,1,1,Imports,686,Senegal,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1772,,225178,,,0
HS,2016,201603,March 2016,6,1,1,Imports,686,Senegal,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,192,,5756,,,0
HS,2016,201603,March 2016,6,1,1,Imports,686,Senegal,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1580,,219422,,,0
