Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,506351,,,0
HS,2016,201601,January 2016,6,1,1,Imports,688,Serbia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,103,,18400,,,0
HS,2016,201601,January 2016,6,1,1,Imports,688,Serbia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5,,,0
HS,2016,201601,January 2016,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1199,,487946,,,0
HS,2016,201601,January 2016,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,42017,,,0
HS,2016,201601,January 2016,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,511,,,0
HS,2016,201601,January 2016,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,42528,,,0
HS,2016,201602,February 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2337,,1278520,,,0
HS,2016,201602,February 2016,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,22835,,,0
HS,2016,201602,February 2016,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2256,,1253087,,,0
HS,2016,201602,February 2016,6,1,1,Imports,688,Serbia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,2598,,,0
HS,2016,201602,February 2016,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4355,,,0
HS,2016,201602,February 2016,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4355,,,0
HS,2016,201603,March 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2666,,1424148,,,0
HS,2016,201603,March 2016,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,761,,311233,,,0
HS,2016,201603,March 2016,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1905,,1112915,,,0
HS,2016,201603,March 2016,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,14173,,,0
HS,2016,201603,March 2016,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,127,,45461,,,0
HS,2016,201603,March 2016,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,164,,59634,,,0
HS,2016,201604,April 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,453,,189646,,,0
HS,2016,201604,April 2016,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,416,,171569,,,0
HS,2016,201604,April 2016,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,18077,,,0
HS,2016,201605,May 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1207269,,,0
HS,2016,201605,May 2016,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,3022,,,0
HS,2016,201605,May 2016,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2192,,1204205,,,0
HS,2016,201605,May 2016,6,1,1,Imports,688,Serbia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,42,,,0
HS,2016,201606,June 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,42,,,0
HS,2016,201606,June 2016,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,42,,,0
HS,2016,201606,June 2016,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,71,,28476,,,0
HS,2016,201606,June 2016,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,172,,94022,,,0
HS,2016,201606,June 2016,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,101,,65546,,,0
HS,2016,201607,July 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,139,,140203,,,0
HS,2016,201607,July 2016,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,21744,,,0
HS,2016,201607,July 2016,6,1,1,Imports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,3,,,0
HS,2016,201607,July 2016,6,1,1,Imports,688,Serbia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,10315,,,0
HS,2016,201607,July 2016,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,96,,108141,,,0
HS,2016,201608,August 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,140087,,380,,,0
HS,2016,201608,August 2016,6,1,1,Imports,688,Serbia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,220,,2,,,0
HS,2016,201608,August 2016,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,139867,,378,,,0
HS,2016,201608,August 2016,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89963,,150,,,0
HS,2016,201608,August 2016,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14698,,32,,,0
HS,2016,201608,August 2016,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,104661,,182,,,0
HS,2016,201609,September 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,263,,58106,,,0
HS,2016,201609,September 2016,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,263,,58106,,,0
HS,2016,201609,September 2016,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,7761,,,0
HS,2016,201609,September 2016,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,255,,122781,,,0
HS,2016,201609,September 2016,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,230,,115020,,,0
HS,2016,201611,November 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,603874,,1160,,,0
HS,2016,201611,November 2016,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,603874,,1160,,,0
HS,2016,201612,December 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6270,,,0
HS,2016,201612,December 2016,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,30,,,0
HS,2016,201612,December 2016,6,1,1,Imports,688,Serbia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,5611,,,0
HS,2016,201612,December 2016,6,1,1,Imports,688,Serbia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,629,,,0
HS,2016,201612,December 2016,6,1,2,Exports,688,Serbia,,499,Montenegro,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,9764,,,0
HS,2016,201612,December 2016,6,1,2,Exports,688,Serbia,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,35635,,,0
HS,2016,201612,December 2016,6,1,2,Exports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,45399,,,0
HS,2016,201610,October 2016,6,1,1,Imports,688,Serbia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2490,,782888,,,0
HS,2016,201610,October 2016,6,1,1,Imports,688,Serbia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,18033,,,0
