Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201609,September 2016,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,57248,,,0
HS,2016,201611,November 2016,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,54760,,,0
HS,2016,201601,January 2016,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,88,,13389,,,0
HS,2016,201602,February 2016,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115,,14179,,,0
HS,2016,201604,April 2016,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,1664,,,0
HS,2016,201608,August 2016,6,1,1,Imports,690,Seychelles,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,183,,61574,,,0
HS,2016,201602,February 2016,6,1,1,Imports,690,Seychelles,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,674,,,0
HS,2016,201601,January 2016,6,1,1,Imports,690,Seychelles,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,567,,,0
HS,2016,201604,April 2016,6,1,1,Imports,690,Seychelles,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,1664,,,0
HS,2016,201608,August 2016,6,1,1,Imports,690,Seychelles,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99,,6856,,,0
HS,2016,201601,January 2016,6,1,1,Imports,690,Seychelles,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,8591,,,0
HS,2016,201602,February 2016,6,1,1,Imports,690,Seychelles,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,98,,13038,,,0
HS,2016,201602,February 2016,6,1,1,Imports,690,Seychelles,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,467,,,0
HS,2016,201601,January 2016,6,1,1,Imports,690,Seychelles,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,1797,,,0
HS,2016,201601,January 2016,6,1,1,Imports,690,Seychelles,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,2434,,,0
HS,2016,201608,August 2016,6,1,1,Imports,690,Seychelles,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,84,,54719,,,0
HS,2016,201609,September 2016,6,1,1,Imports,690,Seychelles,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,57248,,,0
HS,2016,201611,November 2016,6,1,1,Imports,690,Seychelles,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,54760,,,0
