Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201609,September 2016,6,1,1,Imports,748,Swaziland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,570,,444952,,,0
HS,2016,201609,September 2016,6,1,2,Exports,748,Swaziland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,18,,,0
HS,2016,201609,September 2016,6,1,2,Exports,748,Swaziland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,18,,,0
HS,2016,201609,September 2016,6,1,1,Imports,748,Swaziland,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,2573,,,0
HS,2016,201609,September 2016,6,1,1,Imports,748,Swaziland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,558,,442379,,,0
HS,2016,201606,June 2016,6,1,1,Imports,748,Swaziland,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3725,,467968,,,0
HS,2016,201606,June 2016,6,1,1,Imports,748,Swaziland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3785,,468143,,,0
HS,2016,201606,June 2016,6,1,1,Imports,748,Swaziland,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,126,,,0
HS,2016,201602,February 2016,6,1,1,Imports,748,Swaziland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,135,,975,,,0
HS,2016,201602,February 2016,6,1,1,Imports,748,Swaziland,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,135,,975,,,0
