Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4575,,5519369,,,0
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,124,,151597,,,0
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2780,,4542106,,,0
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,2158,,,0
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,5796,,,0
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,402,,215672,,,0
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,126139,,,0
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,830,,127607,,,0
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,70913,,,0
HS,2016,201607,July 2016,6,1,1,Imports,757,Switzerland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,260,,277382,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9930134,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2274,,2524319,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,923,,762252,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,811977,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,720,,1464858,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,411,,77564,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,1313,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1707,,304253,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,41663,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1742,,1586225,,,0
HS,2016,201601,January 2016,6,1,1,Imports,757,Switzerland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,503,,2355711,,,0
HS,2016,201601,January 2016,6,1,2,Exports,757,Switzerland,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,312862,,,0
HS,2016,201601,January 2016,6,1,2,Exports,757,Switzerland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,174,,305148,,,0
HS,2016,201601,January 2016,6,1,2,Exports,757,Switzerland,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,54,,48414,,,0
HS,2016,201601,January 2016,6,1,2,Exports,757,Switzerland,,336,Holy See (Vatican City State),,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,939,,,0
HS,2016,201601,January 2016,6,1,2,Exports,757,Switzerland,,340,Honduras,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,16538,,,0
