Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201602,February 2016,6,1,1,Imports,764,Thailand,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,457,,,0
HS,2016,201601,January 2016,6,1,2,Exports,764,Thailand,,418,Lao People's Dem. Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,23703,,,0
HS,2016,201601,January 2016,6,1,2,Exports,764,Thailand,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,28500,,,0
HS,2016,201606,June 2016,6,1,1,Imports,764,Thailand,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8273,,1657537,,,0
HS,2016,201606,June 2016,6,1,1,Imports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27834,,6364880,,,0
HS,2016,201606,June 2016,6,1,2,Exports,764,Thailand,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,31891,,,0
HS,2016,201605,May 2016,6,1,1,Imports,764,Thailand,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,126907,,,0
HS,2016,201607,July 2016,6,1,1,Imports,764,Thailand,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,405,,,0
HS,2016,201607,July 2016,6,1,1,Imports,764,Thailand,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2042,,951452,,,0
HS,2016,201607,July 2016,6,1,2,Exports,764,Thailand,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1484,,219358,,,0
