Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201612,December 2016,6,1,1,Imports,768,Togo,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,123,,3296,,,0
HS,2016,201608,August 2016,6,1,1,Imports,768,Togo,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89,,14380,,,0
HS,2016,201602,February 2016,6,1,1,Imports,768,Togo,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,203,,21453,,,0
HS,2016,201606,June 2016,6,1,1,Imports,768,Togo,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,130,,15119,,,0
HS,2016,201601,January 2016,6,1,1,Imports,768,Togo,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,593,,68079,,,0
HS,2016,201603,March 2016,6,1,1,Imports,768,Togo,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,246,,25167,,,0
HS,2016,201605,May 2016,6,1,1,Imports,768,Togo,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,8062,,,0
HS,2016,201606,June 2016,6,1,1,Imports,768,Togo,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,9028,,,0
HS,2016,201609,September 2016,6,1,1,Imports,768,Togo,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99,,2295,,,0
HS,2016,201601,January 2016,6,1,1,Imports,768,Togo,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3544,,412869,,,0
HS,2016,201603,March 2016,6,1,1,Imports,768,Togo,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99,,1901,,,0
HS,2016,201607,July 2016,6,1,1,Imports,768,Togo,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,98,,18819,,,0
HS,2016,201606,June 2016,6,1,1,Imports,768,Togo,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,9246,,,0
HS,2016,201603,March 2016,6,1,1,Imports,768,Togo,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,91,,16007,,,0
HS,2016,201610,October 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,9783,,,0
HS,2016,201604,April 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,87,,30593,,,0
HS,2016,201608,August 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,369,,79798,,,0
HS,2016,201611,November 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,621,,103679,,,0
HS,2016,201602,February 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,13559,,,0
HS,2016,201606,June 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,134,,26551,,,0
HS,2016,201609,September 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,481,,73686,,,0
HS,2016,201601,January 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,3851,,,0
HS,2016,201612,December 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,528,,62026,,,0
HS,2016,201605,May 2016,6,1,1,Imports,768,Togo,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,1490,,,0
HS,2016,201601,January 2016,6,1,1,Imports,768,Togo,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,4168,,,0
HS,2016,201603,March 2016,6,1,1,Imports,768,Togo,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2576,,19795,,,0
HS,2016,201607,July 2016,6,1,1,Imports,768,Togo,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,268,,24537,,,0
HS,2016,201606,June 2016,6,1,1,Imports,768,Togo,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,408,,408608,,,0
HS,2016,201601,January 2016,6,1,1,Imports,768,Togo,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,190,,22780,,,0
HS,2016,201603,March 2016,6,1,1,Imports,768,Togo,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,428,,26806,,,0
HS,2016,201605,May 2016,6,1,1,Imports,768,Togo,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1625,,1064943,,,0
HS,2016,201605,May 2016,6,1,1,Imports,768,Togo,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,188,,80661,,,0
HS,2016,201603,March 2016,6,1,1,Imports,768,Togo,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,160,,24153,,,0
HS,2016,201610,October 2016,6,1,1,Imports,768,Togo,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,98,,74925,,,0
HS,2016,201604,April 2016,6,1,1,Imports,768,Togo,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,982,,1569804,,,0
HS,2016,201607,July 2016,6,1,1,Imports,768,Togo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,366,,43356,,,0
HS,2016,201610,October 2016,6,1,1,Imports,768,Togo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,153,,84708,,,0
HS,2016,201604,April 2016,6,1,1,Imports,768,Togo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1069,,1600397,,,0
HS,2016,201608,August 2016,6,1,1,Imports,768,Togo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,458,,94178,,,0
HS,2016,201611,November 2016,6,1,1,Imports,768,Togo,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,621,,103679,,,0
