Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,4904,,,0
HS,2016,201601,January 2016,6,1,2,Exports,792,Turkey,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,2291,,,0
HS,2016,201601,January 2016,6,1,2,Exports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,1113,,,0
HS,2016,201601,January 2016,6,1,2,Exports,792,Turkey,,760,Syria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,1500,,,0
HS,2016,201602,February 2016,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,790,,36905,,,0
HS,2016,201602,February 2016,6,1,2,Exports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,714,,19652,,,0
HS,2016,201602,February 2016,6,1,2,Exports,792,Turkey,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,76,,17253,,,0
HS,2016,201603,March 2016,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1795,,102344,,,0
HS,2016,201603,March 2016,6,1,2,Exports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,281,,10561,,,0
HS,2016,201603,March 2016,6,1,2,Exports,792,Turkey,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1360,,30000,,,0
HS,2016,201603,March 2016,6,1,2,Exports,792,Turkey,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,154,,61783,,,0
HS,2016,201604,April 2016,6,1,1,Imports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20069,,11733285,,,0
HS,2016,201604,April 2016,6,1,1,Imports,792,Turkey,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1592,,758091,,,0
HS,2016,201604,April 2016,6,1,1,Imports,792,Turkey,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1100,,585242,,,0
HS,2016,201604,April 2016,6,1,1,Imports,792,Turkey,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,1175,,,0
HS,2016,201604,April 2016,6,1,1,Imports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2059,,5973757,,,0
HS,2016,201604,April 2016,6,1,1,Imports,792,Turkey,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,759,,,0
HS,2016,201604,April 2016,6,1,1,Imports,792,Turkey,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13771,,1140781,,,0
HS,2016,201604,April 2016,6,1,1,Imports,792,Turkey,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,558,,111784,,,0
HS,2016,201604,April 2016,6,1,1,Imports,792,Turkey,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,973,,3161696,,,0
HS,2016,201604,April 2016,6,1,2,Exports,792,Turkey,,400,Jordan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,90,,7187,,,0
HS,2016,201604,April 2016,6,1,2,Exports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,218,,8010,,,0
HS,2016,201604,April 2016,6,1,2,Exports,792,Turkey,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,1709,,,0
HS,2016,201604,April 2016,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,317,,16906,,,0
HS,2016,201605,May 2016,6,1,1,Imports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24070,,10054300,,,0
HS,2016,201605,May 2016,6,1,1,Imports,792,Turkey,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,174,,71244,,,0
HS,2016,201605,May 2016,6,1,1,Imports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3166,,4315313,,,0
HS,2016,201605,May 2016,6,1,1,Imports,792,Turkey,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12674,,1210525,,,0
HS,2016,201605,May 2016,6,1,1,Imports,792,Turkey,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8056,,4457218,,,0
HS,2016,201605,May 2016,6,1,2,Exports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,594,,14965,,,0
HS,2016,201605,May 2016,6,1,2,Exports,792,Turkey,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,3255,,,0
HS,2016,201605,May 2016,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,679,,18220,,,0
HS,2016,201606,June 2016,6,1,2,Exports,792,Turkey,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,540,,14382,,,0
HS,2016,201606,June 2016,6,1,2,Exports,792,Turkey,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,531,,12974,,,0
