Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,12,Algeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21970,,21515849,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,105,,940171,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2003,,3690970,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,125797,,356913244,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1253,,1434870,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,92444,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,380,,693667,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,41636,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,899,,1649824,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,474,,566665,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,634,Qatar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3508,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115,,183516,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4581,,6336837,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2250,,5523316,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,730,,8883,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,575,,994107,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,133,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3737,,2613699,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1393,,2192468,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,160,,770069,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2101,,8106657,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2420,,2835843,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,4441,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3844,,3868206,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,299,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2241,,2355937,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4133,,16204421,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5204,,6195918,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,442,Luxembourg,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,155,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1793,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2858,,4461272,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,573,,1336678,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67,,354832,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17813,,18876336,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,923,,1192336,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,888,,80831,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,788,Tunisia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,180,,301680,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,171,,1278610,,,0
HS,2016,201604,April 2016,6,1,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41659,,240204367,,,0
HS,2016,201602,February 2016,6,1,1,Imports,826,United Kingdom,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115859,,166944695,,,0
HS,2016,201602,February 2016,6,1,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28454,,99837149,,,0
HS,2016,201602,February 2016,6,1,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32612,,7820885,,,0
HS,2016,201602,February 2016,6,1,1,Imports,826,United Kingdom,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9949,,20589793,,,0
HS,2016,201602,February 2016,6,1,1,Imports,826,United Kingdom,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,11749,,,0
HS,2016,201602,February 2016,6,1,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1478,,608106,,,0
HS,2016,201602,February 2016,6,1,1,Imports,826,United Kingdom,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,6976,,,0
HS,2016,201602,February 2016,6,1,1,Imports,826,United Kingdom,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43298,,38041828,,,0
HS,2016,201602,February 2016,6,1,1,Imports,826,United Kingdom,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,28208,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43901,,32790603,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,224,,3619,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2186,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1839,,788224,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36529,,28059819,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,3121,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,2719,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,2801,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,183689149,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,580,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29401,,96066972,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,4822,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6807,,868469,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18280,,23846287,,,0
HS,2016,201601,January 2016,6,1,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1477,,1248924,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4106,,13538186,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,288,Ghana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,9091,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2002,,2168056,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,253,,286169,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1250,,1194546,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6421,,7235982,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,307,,694753,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,141,,196294,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1188,,6978876,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,77940,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,20117,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55005,,230037745,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,652,,5981914,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,663,,2108975,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1614,,1082710,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1994,,3069867,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,276,,592889,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1694,,3999694,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,83,,119221,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1816,,6736413,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,566,Nigeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,7848,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,1914,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1377,,2332691,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51,,63049,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,4767,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,504,Morocco,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,130,,119855,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,807,,3041829,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,594,,128020,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,769,,1084511,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26653,,167158974,,,0
HS,2016,201601,January 2016,6,1,2,Exports,826,United Kingdom,,854,Burkina Faso,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,96,,2593,,,0
HS,2016,201602,February 2016,6,1,2,Exports,826,United Kingdom,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51464,,227894511,,,0
HS,2016,201602,February 2016,6,1,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,520,,565202,,,0
HS,2016,201602,February 2016,6,1,2,Exports,826,United Kingdom,,60,Bermuda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,21529,,,0
HS,2016,201602,February 2016,6,1,2,Exports,826,United Kingdom,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,114,,41688,,,0
HS,2016,201602,February 2016,6,1,2,Exports,826,United Kingdom,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,10431,,,0
HS,2016,201602,February 2016,6,1,2,Exports,826,United Kingdom,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1187,,7017306,,,0
HS,2016,201602,February 2016,6,1,2,Exports,826,United Kingdom,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,989,,2258813,,,0
HS,2016,201602,February 2016,6,1,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,395384,,,0
