Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201611,November 2016,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3851,,314361,,,0
HS,2016,201611,November 2016,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3846,,309625,,,0
HS,2016,201611,November 2016,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,4736,,,0
HS,2016,201609,September 2016,6,1,1,Imports,894,Zambia,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,32,,,0
HS,2016,201609,September 2016,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1425,,105898,,,0
HS,2016,201605,May 2016,6,1,1,Imports,894,Zambia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4890,,953473,,,0
HS,2016,201605,May 2016,6,1,1,Imports,894,Zambia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,452,,135968,,,0
HS,2016,201605,May 2016,6,1,1,Imports,894,Zambia,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,5012,,,0
HS,2016,201605,May 2016,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5840,,1119433,,,0
HS,2016,201605,May 2016,6,1,1,Imports,894,Zambia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,439,,24980,,,0
HS,2016,201607,July 2016,6,1,1,Imports,894,Zambia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7516,,1139176,,,0
