Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201704,April 2017,6,1,1,Imports,24,Angola,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1903,,1193623,,,0
HS,2017,201708,August 2017,6,1,1,Imports,24,Angola,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,169,,87578,,,0
HS,2017,201708,August 2017,6,1,1,Imports,24,Angola,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,541,,371053,,,0
HS,2017,201709,September 2017,6,1,1,Imports,24,Angola,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1266,,,0
HS,2017,201708,August 2017,6,1,1,Imports,24,Angola,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55355,,11026008,,,0
HS,2017,201709,September 2017,6,1,1,Imports,24,Angola,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,235,,50011,,,0
HS,2017,201709,September 2017,6,1,1,Imports,24,Angola,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,380,,520058,,,0
HS,2017,201701,January 2017,6,1,1,Imports,24,Angola,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,191,,61551,,,0
HS,2017,201704,April 2017,6,1,1,Imports,24,Angola,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,3321,,,0
HS,2017,201711,November 2017,6,1,1,Imports,24,Angola,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1512,,24833,,,0
HS,2017,201708,August 2017,6,1,1,Imports,24,Angola,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50070,,9442824,,,0
HS,2017,201708,August 2017,6,1,1,Imports,24,Angola,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2221,,542506,,,0
HS,2017,201711,November 2017,6,1,1,Imports,24,Angola,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1652,,504981,,,0
HS,2017,201704,April 2017,6,1,1,Imports,24,Angola,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,141756,,,0
HS,2017,201712,December 2017,6,1,1,Imports,24,Angola,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,3785,,,0
HS,2017,201712,December 2017,6,1,1,Imports,24,Angola,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,4,,,0
HS,2017,201701,January 2017,6,1,1,Imports,24,Angola,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5183,,498453,,,0
HS,2017,201708,August 2017,6,1,1,Imports,24,Angola,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2221,,542506,,,0
HS,2017,201708,August 2017,6,1,1,Imports,24,Angola,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,133,,39541,,,0
