Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2696,,255425,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,273500,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,221,,9094,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7451,,6189700,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,330,,63939,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2287,,2530959,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15303,,12679791,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5313,,6153063,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,320,,59855,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1403,,118175,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,305,,269795,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,265,,1178805,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21031,,4356229,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3367,,4347030,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2008,,520191,,,0
HS,2017,201703,March 2017,6,1,1,Imports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51713,,27148623,,,0
HS,2017,201703,March 2017,6,1,2,Exports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1679,,107819,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,450,,342339,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6329,,767824,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11610,,3824697,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5220,,5554008,,,0
HS,2017,201703,March 2017,6,1,2,Exports,32,Argentina,,68,Bolivia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,57,,9000,,,0
HS,2017,201703,March 2017,6,1,2,Exports,32,Argentina,,214,Dominican Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,6000,,,0
HS,2017,201703,March 2017,6,1,2,Exports,32,Argentina,,600,Paraguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1574,,92819,,,0
HS,2017,201710,October 2017,6,1,1,Imports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34277,,22345797,,,0
HS,2017,201710,October 2017,6,1,2,Exports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,245,,76086,,,0
HS,2017,201710,October 2017,6,1,2,Exports,32,Argentina,,68,Bolivia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,13500,,,0
HS,2017,201710,October 2017,6,1,2,Exports,32,Argentina,,600,Paraguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,168,,62586,,,0
HS,2017,201706,June 2017,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4258,,6838422,,,0
HS,2017,201706,June 2017,6,1,1,Imports,32,Argentina,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,268,,,0
HS,2017,201706,June 2017,6,1,1,Imports,32,Argentina,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1865,,142344,,,0
HS,2017,201706,June 2017,6,1,1,Imports,32,Argentina,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,54,,,0
HS,2017,201706,June 2017,6,1,1,Imports,32,Argentina,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,59,,,0
HS,2017,201705,May 2017,6,1,1,Imports,32,Argentina,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1500,,100796,,,0
HS,2017,201706,June 2017,6,1,2,Exports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,151,,22000,,,0
HS,2017,201705,May 2017,6,1,1,Imports,32,Argentina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1129,,597680,,,0
HS,2017,201706,June 2017,6,1,2,Exports,32,Argentina,,68,Bolivia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,78,,9000,,,0
HS,2017,201705,May 2017,6,1,1,Imports,32,Argentina,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,278,,164038,,,0
HS,2017,201705,May 2017,6,1,1,Imports,32,Argentina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,795,,374525,,,0
HS,2017,201706,June 2017,6,1,2,Exports,32,Argentina,,600,Paraguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,73,,13000,,,0
HS,2017,201705,May 2017,6,1,1,Imports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14688,,9973197,,,0
HS,2017,201705,May 2017,6,1,2,Exports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,640,,,0
HS,2017,201706,June 2017,6,1,1,Imports,32,Argentina,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9033,,2307673,,,0
HS,2017,201711,November 2017,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1477,,1364475,,,0
HS,2017,201711,November 2017,6,1,1,Imports,32,Argentina,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,282,,126935,,,0
HS,2017,201711,November 2017,6,1,1,Imports,32,Argentina,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,564,,,0
