Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201701,January 2017,6,1,1,Imports,40,Austria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4929,,3999821,,,0
HS,2017,201701,January 2017,6,1,1,Imports,40,Austria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,849,,318634,,,0
HS,2017,201701,January 2017,6,1,1,Imports,40,Austria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2609,,2310177,,,0
HS,2017,201701,January 2017,6,1,1,Imports,40,Austria,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,578133,,,0
HS,2017,201701,January 2017,6,1,1,Imports,40,Austria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,321,,141484,,,0
HS,2017,201701,January 2017,6,1,1,Imports,40,Austria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1081,,651393,,,0
HS,2017,201701,January 2017,6,1,2,Exports,40,Austria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,114705,,,0
HS,2017,201701,January 2017,6,1,2,Exports,40,Austria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5040,,11416116,,,0
HS,2017,201701,January 2017,6,1,2,Exports,40,Austria,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,381857,,,0
HS,2017,201701,January 2017,6,1,2,Exports,40,Austria,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,301,,300711,,,0
