Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201707,July 2017,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69611,,39082619,,,0
HS,2017,201707,July 2017,6,1,2,Exports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,342,,1513848,,,0
HS,2017,201702,February 2017,6,1,1,Imports,76,Brazil,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13425,,8889056,,,0
HS,2017,201702,February 2017,6,1,1,Imports,76,Brazil,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,122,,46591,,,0
HS,2017,201702,February 2017,6,1,1,Imports,76,Brazil,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,614,,2028423,,,0
HS,2017,201702,February 2017,6,1,1,Imports,76,Brazil,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15082,,10365398,,,0
HS,2017,201702,February 2017,6,1,2,Exports,76,Brazil,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3300,,1260000,,,0
HS,2017,201704,April 2017,6,1,1,Imports,76,Brazil,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22953,,26439925,,,0
HS,2017,201704,April 2017,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11778,,9320035,,,0
HS,2017,201704,April 2017,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52304,,57982016,,,0
HS,2017,201704,April 2017,6,1,2,Exports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,540,,2389130,,,0
HS,2017,201703,March 2017,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24630,,10966440,,,0
HS,2017,201703,March 2017,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,87987,,56033029,,,0
HS,2017,201707,July 2017,6,1,2,Exports,76,Brazil,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,342,,1513848,,,0
HS,2017,201703,March 2017,6,1,1,Imports,76,Brazil,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,779,,1463443,,,0
HS,2017,201703,March 2017,6,1,1,Imports,76,Brazil,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25350,,4136613,,,0
HS,2017,201703,March 2017,6,1,1,Imports,76,Brazil,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,772835,,,0
HS,2017,201703,March 2017,6,1,1,Imports,76,Brazil,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11376,,18747594,,,0
HS,2017,201703,March 2017,6,1,1,Imports,76,Brazil,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,279,,943672,,,0
HS,2017,201702,February 2017,6,1,1,Imports,76,Brazil,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34415,,9904104,,,0
HS,2017,201702,February 2017,6,1,1,Imports,76,Brazil,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1326,,1527873,,,0
HS,2017,201702,February 2017,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1950,,2270714,,,0
HS,2017,201702,February 2017,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66934,,35032159,,,0
HS,2017,201702,February 2017,6,1,2,Exports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3300,,1260000,,,0
HS,2017,201707,July 2017,6,1,1,Imports,76,Brazil,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43141,,7243657,,,0
HS,2017,201707,July 2017,6,1,1,Imports,76,Brazil,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2813,,3543320,,,0
HS,2017,201707,July 2017,6,1,1,Imports,76,Brazil,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115,,18609,,,0
HS,2017,201707,July 2017,6,1,1,Imports,76,Brazil,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23542,,28277033,,,0
HS,2017,201701,January 2017,6,1,1,Imports,76,Brazil,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43312,,8863972,,,0
HS,2017,201701,January 2017,6,1,1,Imports,76,Brazil,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2711,,2675855,,,0
HS,2017,201701,January 2017,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,816,,559556,,,0
HS,2017,201701,January 2017,6,1,1,Imports,76,Brazil,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,40381,,,0
HS,2017,201701,January 2017,6,1,1,Imports,76,Brazil,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1987,,1384222,,,0
HS,2017,201701,January 2017,6,1,1,Imports,76,Brazil,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7936,,5233519,,,0
HS,2017,201701,January 2017,6,1,1,Imports,76,Brazil,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6290,,,0
HS,2017,201701,January 2017,6,1,2,Exports,76,Brazil,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,989,,1195226,,,0
HS,2017,201704,April 2017,6,1,1,Imports,76,Brazil,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1348,,1865013,,,0
HS,2017,201704,April 2017,6,1,1,Imports,76,Brazil,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4630,,488889,,,0
HS,2017,201703,March 2017,6,1,1,Imports,76,Brazil,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4029,,1168773,,,0
HS,2017,201703,March 2017,6,1,1,Imports,76,Brazil,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20944,,17833659,,,0
HS,2017,201708,August 2017,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,475,,316166,,,0
HS,2017,201708,August 2017,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51604,,48495984,,,0
HS,2017,201708,August 2017,6,1,2,Exports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,139661,,,0
HS,2017,201708,August 2017,6,1,1,Imports,76,Brazil,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11909,,2090531,,,0
HS,2017,201708,August 2017,6,1,1,Imports,76,Brazil,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29979,,36420021,,,0
HS,2017,201708,August 2017,6,1,1,Imports,76,Brazil,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,645,,,0
HS,2017,201709,September 2017,6,1,2,Exports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,463,,2050408,,,0
HS,2017,201709,September 2017,6,1,2,Exports,76,Brazil,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,463,,2050408,,,0
HS,2017,201709,September 2017,6,1,1,Imports,76,Brazil,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7344,,392738,,,0
HS,2017,201709,September 2017,6,1,1,Imports,76,Brazil,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5035,,3081263,,,0
HS,2017,201709,September 2017,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11871,,10836149,,,0
HS,2017,201708,August 2017,6,1,1,Imports,76,Brazil,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7546,,7496101,,,0
HS,2017,201708,August 2017,6,1,2,Exports,76,Brazil,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,139661,,,0
HS,2017,201705,May 2017,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1600,,1053722,,,0
HS,2017,201705,May 2017,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19535,,25708759,,,0
HS,2017,201705,May 2017,6,1,2,Exports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,118920,,,0
HS,2017,201711,November 2017,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,91259,,60219779,,,0
HS,2017,201711,November 2017,6,1,1,Imports,76,Brazil,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2096,,3778445,,,0
HS,2017,201711,November 2017,6,1,1,Imports,76,Brazil,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,513,,519468,,,0
HS,2017,201701,January 2017,6,1,2,Exports,76,Brazil,,862,Venezuela,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1288,,491715,,,0
HS,2017,201701,January 2017,6,1,2,Exports,76,Brazil,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1100,,420000,,,0
HS,2017,201701,January 2017,6,1,2,Exports,76,Brazil,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2017,,770175,,,0
HS,2017,201701,January 2017,6,1,2,Exports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5394,,2877116,,,0
HS,2017,201701,January 2017,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,18763795,,,0
HS,2017,201710,October 2017,6,1,1,Imports,76,Brazil,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6776,,4590935,,,0
HS,2017,201710,October 2017,6,1,1,Imports,76,Brazil,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21334,,14031117,,,0
HS,2017,201710,October 2017,6,1,1,Imports,76,Brazil,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,600,,765097,,,0
HS,2017,201710,October 2017,6,1,1,Imports,76,Brazil,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6216,,13553860,,,0
