Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201702,February 2017,6,1,2,Exports,100,Bulgaria,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1315,,799650,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,807,TFYR of Macedonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,9381,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,858,Uruguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,316,,13393,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,174,Comoros,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,73,,2708,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,121,,95822,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,1174,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,262,Djibouti,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,125,,4643,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,132,,16028,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,531,Curaçao,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,509,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,8566,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,107,,64873,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,795,Turkmenistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,738,,34557,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3497,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,424,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3806,,698342,,,0
HS,2017,201703,March 2017,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1360,,1490366,,,0
HS,2017,201703,March 2017,6,1,1,Imports,100,Bulgaria,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,13123,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,626,Timor-Leste,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,70,,6745,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,12,Algeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,64645,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,208,,64453,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,292,Gibraltar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,15589,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,972,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,132,Cabo Verde,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,93,,4262,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,4829,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2593,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,417,Kyrgyzstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,845,,38056,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,728,,154744,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,80288,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,266,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2552,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,453,,,0
HS,2017,201710,October 2017,6,1,1,Imports,100,Bulgaria,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,145,,34090,,,0
HS,2017,201703,March 2017,6,1,2,Exports,100,Bulgaria,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2319,,,0
HS,2017,201703,March 2017,6,1,1,Imports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1378,,1503488,,,0
HS,2017,201709,September 2017,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1708,,2258616,,,0
HS,2017,201709,September 2017,6,1,1,Imports,100,Bulgaria,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,800,,434809,,,0
HS,2017,201710,October 2017,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2494,,1912865,,,0
HS,2017,201710,October 2017,6,1,1,Imports,100,Bulgaria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1254,,251044,,,0
HS,2017,201709,September 2017,6,1,2,Exports,100,Bulgaria,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,682,,414082,,,0
HS,2017,201709,September 2017,6,1,2,Exports,100,Bulgaria,,740,Suriname,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,952,,,0
HS,2017,201709,September 2017,6,1,2,Exports,100,Bulgaria,,807,TFYR of Macedonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,183,,72689,,,0
HS,2017,201709,September 2017,6,1,2,Exports,100,Bulgaria,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,48595,,,0
HS,2017,201709,September 2017,6,1,2,Exports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9813,,2173875,,,0
HS,2017,201710,October 2017,6,1,1,Imports,100,Bulgaria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,33949,,,0
HS,2017,201710,October 2017,6,1,1,Imports,100,Bulgaria,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1100,,569419,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,685,,161209,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,414,Kuwait,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,23252,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1588,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2703,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,8,Albania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,113,,7515,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,12038,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,126,,112865,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,103436,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,112,Belarus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,212,,132214,,,0
HS,2017,201710,October 2017,6,1,2,Exports,100,Bulgaria,,562,Niger,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,262,,29962,,,0
