Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201712,December 2017,6,1,1,Imports,108,Burundi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5518,,1055753,,,0
HS,2017,201712,December 2017,6,1,1,Imports,108,Burundi,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4204,,925122,,,0
HS,2017,201712,December 2017,6,1,1,Imports,108,Burundi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1314,,130631,,,0
HS,2017,201711,November 2017,6,1,1,Imports,108,Burundi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,747,,203862,,,0
HS,2017,201711,November 2017,6,1,1,Imports,108,Burundi,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,719,,197851,,,0
HS,2017,201711,November 2017,6,1,1,Imports,108,Burundi,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,6011,,,0
HS,2017,201710,October 2017,6,1,1,Imports,108,Burundi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2141,,513805,,,0
HS,2017,201710,October 2017,6,1,1,Imports,108,Burundi,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,293,,165961,,,0
HS,2017,201710,October 2017,6,1,1,Imports,108,Burundi,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,1929,,,0
HS,2017,201710,October 2017,6,1,1,Imports,108,Burundi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1818,,345915,,,0
HS,2017,201705,May 2017,6,1,1,Imports,108,Burundi,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,970,,181025,,,0
HS,2017,201705,May 2017,6,1,1,Imports,108,Burundi,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5038,,1161183,,,0
