Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201704,April 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,157,,341710,,,0
HS,2017,201704,April 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,2344,,,0
HS,2017,201704,April 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,163,,344154,,,0
HS,2017,201702,February 2017,6,1,1,Imports,191,Croatia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,120,,,0
HS,2017,201702,February 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1512,,769881,,,0
HS,2017,201706,June 2017,6,1,2,Exports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1879,,,0
HS,2017,201705,May 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,18986,,,0
HS,2017,201701,January 2017,6,1,1,Imports,191,Croatia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2312,,463647,,,0
HS,2017,201712,December 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,215,,130769,,,0
HS,2017,201709,September 2017,6,1,1,Imports,191,Croatia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,282,,316435,,,0
HS,2017,201711,November 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1770,,,0
HS,2017,201703,March 2017,6,1,1,Imports,191,Croatia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1350,,39758,,,0
HS,2017,201712,December 2017,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,59162,,,0
HS,2017,201703,March 2017,6,1,1,Imports,191,Croatia,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,12076,,,0
HS,2017,201710,October 2017,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3776,,814097,,,0
HS,2017,201710,October 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,27026,,,0
HS,2017,201710,October 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,2478,,,0
HS,2017,201709,September 2017,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1371,,1835958,,,0
HS,2017,201709,September 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1722,,2230212,,,0
HS,2017,201705,May 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1330,,411514,,,0
HS,2017,201706,June 2017,6,1,2,Exports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1879,,,0
HS,2017,201706,June 2017,6,1,1,Imports,191,Croatia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,326,,64230,,,0
HS,2017,201706,June 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,482,,244262,,,0
HS,2017,201706,June 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,3902,,,0
HS,2017,201706,June 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2492,,2000374,,,0
HS,2017,201706,June 2017,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1674,,1687980,,,0
HS,2017,201707,July 2017,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,68,,296038,,,0
HS,2017,201707,July 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,74541,,,0
HS,2017,201707,July 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,2976,,,0
HS,2017,201707,July 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,149,,373555,,,0
HS,2017,201708,August 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,25244,,,0
HS,2017,201708,August 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,3242,,,0
HS,2017,201708,August 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,818195,,,0
HS,2017,201708,August 2017,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,789709,,,0
HS,2017,201711,November 2017,6,1,1,Imports,191,Croatia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,5754,,,0
HS,2017,201712,December 2017,6,1,2,Exports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,54,,,0
HS,2017,201711,November 2017,6,1,1,Imports,191,Croatia,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,21855,,,0
HS,2017,201710,October 2017,6,1,1,Imports,191,Croatia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3264,,290190,,,0
HS,2017,201702,February 2017,6,1,1,Imports,191,Croatia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1500,,761106,,,0
HS,2017,201702,February 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,5875,,,0
HS,2017,201702,February 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,2780,,,0
HS,2017,201704,April 2017,6,1,1,Imports,191,Croatia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,100,,,0
HS,2017,201703,March 2017,6,1,1,Imports,191,Croatia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,284,,101269,,,0
HS,2017,201703,March 2017,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,46208,,,0
HS,2017,201703,March 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,15221,,,0
HS,2017,201703,March 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,3541,,,0
HS,2017,201703,March 2017,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2495,,1731313,,,0
HS,2017,201703,March 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4162,,1949386,,,0
HS,2017,201710,October 2017,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,536,,154738,,,0
HS,2017,201710,October 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7596,,1288529,,,0
HS,2017,201701,January 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,2408,,,0
HS,2017,201701,January 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,46087,,,0
HS,2017,201709,September 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4410,,,0
HS,2017,201709,September 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,39,,39844,,,0
HS,2017,201709,September 2017,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,33565,,,0
HS,2017,201701,January 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2339,,512142,,,0
HS,2017,201705,May 2017,6,1,1,Imports,191,Croatia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1209,,289668,,,0
HS,2017,201705,May 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,4257,,,0
HS,2017,201705,May 2017,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,96,,98603,,,0
HS,2017,201711,November 2017,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,539,,174976,,,0
HS,2017,201711,November 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,313,,505655,,,0
HS,2017,201711,November 2017,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,4427,,,0
HS,2017,201711,November 2017,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,923,,714437,,,0
HS,2017,201712,December 2017,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,113,,24159,,,0
HS,2017,201712,December 2017,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,45196,,,0
HS,2017,201712,December 2017,6,1,1,Imports,191,Croatia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,2252,,,0
HS,2017,201712,December 2017,6,1,2,Exports,191,Croatia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,54,,,0
