Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201707,July 2017,6,1,1,Imports,196,Cyprus,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,260,,11518,,,0
HS,2017,201707,July 2017,6,1,1,Imports,196,Cyprus,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,327,,226594,,,0
HS,2017,201707,July 2017,6,1,1,Imports,196,Cyprus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1299,,416320,,,0
HS,2017,201704,April 2017,6,1,1,Imports,196,Cyprus,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1121,,,0
HS,2017,201704,April 2017,6,1,1,Imports,196,Cyprus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,121,,37711,,,0
HS,2017,201703,March 2017,6,1,1,Imports,196,Cyprus,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,281,,198966,,,0
HS,2017,201703,March 2017,6,1,1,Imports,196,Cyprus,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1950,,77178,,,0
HS,2017,201703,March 2017,6,1,1,Imports,196,Cyprus,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,868,,187020,,,0
HS,2017,201703,March 2017,6,1,1,Imports,196,Cyprus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,1875,,,0
HS,2017,201703,March 2017,6,1,1,Imports,196,Cyprus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3104,,465039,,,0
HS,2017,201701,January 2017,6,1,1,Imports,196,Cyprus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115,,141532,,,0
HS,2017,201701,January 2017,6,1,1,Imports,196,Cyprus,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,64,,126517,,,0
HS,2017,201701,January 2017,6,1,1,Imports,196,Cyprus,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,740,,196645,,,0
HS,2017,201701,January 2017,6,1,1,Imports,196,Cyprus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,5307,,,0
HS,2017,201701,January 2017,6,1,1,Imports,196,Cyprus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,939,,470001,,,0
HS,2017,201712,December 2017,6,1,1,Imports,196,Cyprus,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,419,,274913,,,0
HS,2017,201712,December 2017,6,1,1,Imports,196,Cyprus,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,328,,31128,,,0
HS,2017,201712,December 2017,6,1,1,Imports,196,Cyprus,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,550,,113421,,,0
