Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201712,December 2017,6,1,1,Imports,818,Egypt,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,449413,,,0
HS,2017,201712,December 2017,6,1,1,Imports,818,Egypt,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,354606,,,0
HS,2017,201712,December 2017,6,1,1,Imports,818,Egypt,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,334731,,,0
HS,2017,201712,December 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4862163,,,0
HS,2017,201712,December 2017,6,1,1,Imports,818,Egypt,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2466290,,,0
HS,2017,201712,December 2017,6,1,1,Imports,818,Egypt,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,533155,,,0
HS,2017,201712,December 2017,6,1,1,Imports,818,Egypt,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,24121,,,0
HS,2017,201712,December 2017,6,1,1,Imports,818,Egypt,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,699848,,,0
HS,2017,201703,March 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1815,,,0
HS,2017,201706,June 2017,6,1,1,Imports,818,Egypt,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,18431,,,0
HS,2017,201706,June 2017,6,1,1,Imports,818,Egypt,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,522152,,,0
HS,2017,201703,March 2017,6,1,1,Imports,818,Egypt,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,970,,,0
HS,2017,201703,March 2017,6,1,1,Imports,818,Egypt,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,845,,,0
HS,2017,201706,June 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,540583,,,0
HS,2017,201705,May 2017,6,1,1,Imports,818,Egypt,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,41444,,,0
HS,2017,201711,November 2017,6,1,1,Imports,818,Egypt,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,734931,,,0
HS,2017,201711,November 2017,6,1,1,Imports,818,Egypt,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,532342,,,0
HS,2017,201711,November 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2872416,,,0
HS,2017,201711,November 2017,6,1,1,Imports,818,Egypt,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,144313,,,0
HS,2017,201711,November 2017,6,1,1,Imports,818,Egypt,,400,Jordan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,58,,,0
HS,2017,201711,November 2017,6,1,1,Imports,818,Egypt,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,70012,,,0
HS,2017,201711,November 2017,6,1,1,Imports,818,Egypt,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,894379,,,0
HS,2017,201711,November 2017,6,1,1,Imports,818,Egypt,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,496382,,,0
HS,2017,201710,October 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6529282,,,0
HS,2017,201710,October 2017,6,1,1,Imports,818,Egypt,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,220555,,,0
HS,2017,201710,October 2017,6,1,1,Imports,818,Egypt,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,30491,,,0
HS,2017,201710,October 2017,6,1,1,Imports,818,Egypt,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6278236,,,0
HS,2017,201707,July 2017,6,1,1,Imports,818,Egypt,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,76547,,,0
HS,2017,201707,July 2017,6,1,1,Imports,818,Egypt,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4155476,,,0
HS,2017,201707,July 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9435651,,,0
HS,2017,201707,July 2017,6,1,1,Imports,818,Egypt,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3414836,,,0
HS,2017,201707,July 2017,6,1,1,Imports,818,Egypt,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1606739,,,0
HS,2017,201707,July 2017,6,1,1,Imports,818,Egypt,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,150870,,,0
HS,2017,201707,July 2017,6,1,1,Imports,818,Egypt,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,30874,,,0
HS,2017,201707,July 2017,6,1,1,Imports,818,Egypt,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,309,,,0
HS,2017,201705,May 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,615422,,,0
HS,2017,201705,May 2017,6,1,1,Imports,818,Egypt,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,328392,,,0
HS,2017,201705,May 2017,6,1,1,Imports,818,Egypt,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,235510,,,0
HS,2017,201705,May 2017,6,1,1,Imports,818,Egypt,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10075,,,0
HS,2017,201702,February 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3835690,,,0
HS,2017,201702,February 2017,6,1,1,Imports,818,Egypt,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3291197,,,0
HS,2017,201702,February 2017,6,1,1,Imports,818,Egypt,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,19865,,,0
HS,2017,201702,February 2017,6,1,1,Imports,818,Egypt,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,524628,,,0
HS,2017,201701,January 2017,6,1,1,Imports,818,Egypt,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,686733,,,0
HS,2017,201701,January 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,953072,,,0
HS,2017,201701,January 2017,6,1,1,Imports,818,Egypt,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,266339,,,0
HS,2017,201708,August 2017,6,1,1,Imports,818,Egypt,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11408,,,0
HS,2017,201708,August 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,628421,,,0
HS,2017,201708,August 2017,6,1,1,Imports,818,Egypt,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,617013,,,0
HS,2017,201704,April 2017,6,1,1,Imports,818,Egypt,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1624956,,,0
HS,2017,201704,April 2017,6,1,1,Imports,818,Egypt,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6279,,,0
HS,2017,201704,April 2017,6,1,1,Imports,818,Egypt,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1618677,,,0
