Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201706,June 2017,6,1,1,Imports,222,El Salvador,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,22307,,,0
HS,2017,201706,June 2017,6,1,1,Imports,222,El Salvador,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,186,,40064,,,0
HS,2017,201706,June 2017,6,1,1,Imports,222,El Salvador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,105,,8880,,,0
HS,2017,201706,June 2017,6,1,1,Imports,222,El Salvador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,852,,91727,,,0
HS,2017,201706,June 2017,6,1,1,Imports,222,El Salvador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,911,,77084,,,0
HS,2017,201706,June 2017,6,1,1,Imports,222,El Salvador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2097,,240063,,,0
HS,2017,201710,October 2017,6,1,1,Imports,222,El Salvador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,733,,159709,,,0
HS,2017,201710,October 2017,6,1,1,Imports,222,El Salvador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,183,,15338,,,0
HS,2017,201710,October 2017,6,1,1,Imports,222,El Salvador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,46,,24420,,,0
HS,2017,201710,October 2017,6,1,1,Imports,222,El Salvador,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,92,,14126,,,0
HS,2017,201710,October 2017,6,1,1,Imports,222,El Salvador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,412,,105826,,,0
HS,2017,201711,November 2017,6,1,1,Imports,222,El Salvador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3044,,848716,,,0
HS,2017,201711,November 2017,6,1,1,Imports,222,El Salvador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2069,,602794,,,0
HS,2017,201711,November 2017,6,1,1,Imports,222,El Salvador,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,192,,39910,,,0
HS,2017,201711,November 2017,6,1,1,Imports,222,El Salvador,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,49111,,,0
HS,2017,201711,November 2017,6,1,1,Imports,222,El Salvador,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,64,,10558,,,0
HS,2017,201711,November 2017,6,1,1,Imports,222,El Salvador,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,224,,56802,,,0
HS,2017,201711,November 2017,6,1,1,Imports,222,El Salvador,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,364,,77408,,,0
HS,2017,201711,November 2017,6,1,1,Imports,222,El Salvador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,57,,12134,,,0
HS,2017,201703,March 2017,6,1,1,Imports,222,El Salvador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1003,,578397,,,0
HS,2017,201703,March 2017,6,1,1,Imports,222,El Salvador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,432,,480115,,,0
HS,2017,201703,March 2017,6,1,1,Imports,222,El Salvador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,226,,22087,,,0
HS,2017,201703,March 2017,6,1,1,Imports,222,El Salvador,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,8580,,,0
HS,2017,201703,March 2017,6,1,1,Imports,222,El Salvador,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,10324,,,0
HS,2017,201703,March 2017,6,1,1,Imports,222,El Salvador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,249,,57291,,,0
HS,2017,201705,May 2017,6,1,1,Imports,222,El Salvador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6399,,2561680,,,0
HS,2017,201705,May 2017,6,1,1,Imports,222,El Salvador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1025,,64409,,,0
HS,2017,201705,May 2017,6,1,1,Imports,222,El Salvador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,632,,155017,,,0
HS,2017,201705,May 2017,6,1,1,Imports,222,El Salvador,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,944,,59419,,,0
HS,2017,201705,May 2017,6,1,1,Imports,222,El Salvador,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,12869,,,0
HS,2017,201705,May 2017,6,1,1,Imports,222,El Salvador,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,307,,219399,,,0
HS,2017,201705,May 2017,6,1,1,Imports,222,El Salvador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3418,,2050566,,,0
