Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201701,January 2017,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,20647,,,0
HS,2017,201701,January 2017,6,1,1,Imports,233,Estonia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1006,,,0
HS,2017,201701,January 2017,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1613,,,0
HS,2017,201701,January 2017,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,18028,,,0
HS,2017,201702,February 2017,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,331,,380977,,,0
HS,2017,201702,February 2017,6,1,1,Imports,233,Estonia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,17295,,,0
HS,2017,201702,February 2017,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,227,,253298,,,0
HS,2017,201702,February 2017,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,7876,,,0
HS,2017,201702,February 2017,6,1,1,Imports,233,Estonia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,101,,54811,,,0
HS,2017,201702,February 2017,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,47697,,,0
HS,2017,201709,September 2017,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,49943,,,0
HS,2017,201709,September 2017,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,30322,,,0
HS,2017,201709,September 2017,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,134634,,,0
HS,2017,201703,March 2017,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,294,,474580,,,0
HS,2017,201703,March 2017,6,1,1,Imports,233,Estonia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,115756,,,0
HS,2017,201703,March 2017,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,217,,281446,,,0
HS,2017,201703,March 2017,6,1,1,Imports,233,Estonia,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,455,,,0
HS,2017,201703,March 2017,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,2564,,,0
HS,2017,201703,March 2017,6,1,1,Imports,233,Estonia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,67640,,,0
HS,2017,201703,March 2017,6,1,1,Imports,233,Estonia,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,430,,,0
HS,2017,201703,March 2017,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,6289,,,0
HS,2017,201704,April 2017,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,120601,,,0
HS,2017,201704,April 2017,6,1,1,Imports,233,Estonia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,72541,,,0
HS,2017,201704,April 2017,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,12458,,,0
HS,2017,201704,April 2017,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,5313,,,0
HS,2017,201704,April 2017,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,25029,,,0
HS,2017,201704,April 2017,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,5260,,,0
HS,2017,201706,June 2017,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,162720,,,0
HS,2017,201706,June 2017,6,1,1,Imports,233,Estonia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,110044,,,0
HS,2017,201706,June 2017,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,15322,,,0
HS,2017,201706,June 2017,6,1,1,Imports,233,Estonia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,31801,,,0
HS,2017,201706,June 2017,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,46,,,0
HS,2017,201706,June 2017,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,5508,,,0
HS,2017,201707,July 2017,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,301,,263174,,,0
HS,2017,201707,July 2017,6,1,1,Imports,233,Estonia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,29092,,,0
HS,2017,201707,July 2017,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,292,,213907,,,0
HS,2017,201707,July 2017,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,5460,,,0
HS,2017,201707,July 2017,6,1,1,Imports,233,Estonia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,7386,,,0
HS,2017,201707,July 2017,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,7329,,,0
HS,2017,201708,August 2017,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,24356,,,0
HS,2017,201708,August 2017,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,4233,,,0
HS,2017,201708,August 2017,6,1,1,Imports,233,Estonia,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,15660,,,0
HS,2017,201708,August 2017,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,424,,,0
HS,2017,201708,August 2017,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,4039,,,0
HS,2017,201705,May 2017,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,6740,,,0
HS,2017,201705,May 2017,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,495,,692361,,,0
HS,2017,201709,September 2017,6,1,1,Imports,233,Estonia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2909,,,0
HS,2017,201711,November 2017,6,1,1,Imports,233,Estonia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,7534,,,0
HS,2017,201711,November 2017,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,186934,,,0
HS,2017,201712,December 2017,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,5918,,,0
