Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201708,August 2017,6,1,1,Imports,246,Finland,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,165,,733344,,,0
HS,2017,201708,August 2017,6,1,1,Imports,246,Finland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,81666,,,0
HS,2017,201705,May 2017,6,1,1,Imports,246,Finland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,526,,971346,,,0
HS,2017,201702,February 2017,6,1,1,Imports,246,Finland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,346,,457501,,,0
HS,2017,201708,August 2017,6,1,1,Imports,246,Finland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2726,,3957526,,,0
HS,2017,201702,February 2017,6,1,1,Imports,246,Finland,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,542,,639290,,,0
HS,2017,201710,October 2017,6,1,1,Imports,246,Finland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,352957,,,0
HS,2017,201710,October 2017,6,1,1,Imports,246,Finland,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,180,,1451350,,,0
HS,2017,201712,December 2017,6,1,1,Imports,246,Finland,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,656,,1115752,,,0
HS,2017,201708,August 2017,6,1,1,Imports,246,Finland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2016,,1056202,,,0
HS,2017,201702,February 2017,6,1,1,Imports,246,Finland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,14590,,,0
HS,2017,201702,February 2017,6,1,1,Imports,246,Finland,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1078,,428624,,,0
HS,2017,201710,October 2017,6,1,1,Imports,246,Finland,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,550,,1125472,,,0
HS,2017,201710,October 2017,6,1,1,Imports,246,Finland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3296,,,0
HS,2017,201712,December 2017,6,1,1,Imports,246,Finland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2032,,1648633,,,0
HS,2017,201702,February 2017,6,1,1,Imports,246,Finland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,88772,,,0
HS,2017,201710,October 2017,6,1,1,Imports,246,Finland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2506,,1169531,,,0
HS,2017,201707,July 2017,6,1,1,Imports,246,Finland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5956,,5450747,,,0
HS,2017,201702,February 2017,6,1,1,Imports,246,Finland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2038,,1628778,,,0
HS,2017,201707,July 2017,6,1,1,Imports,246,Finland,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,442,,569120,,,0
HS,2017,201712,December 2017,6,1,1,Imports,246,Finland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,150961,,,0
HS,2017,201712,December 2017,6,1,1,Imports,246,Finland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1270,,381920,,,0
HS,2017,201707,July 2017,6,1,1,Imports,246,Finland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2066,,2075595,,,0
HS,2017,201707,July 2017,6,1,1,Imports,246,Finland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3448,,2806032,,,0
HS,2017,201704,April 2017,6,1,1,Imports,246,Finland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,152,,311044,,,0
HS,2017,201704,April 2017,6,1,1,Imports,246,Finland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,179149,,,0
HS,2017,201704,April 2017,6,1,1,Imports,246,Finland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,15745,,,0
HS,2017,201704,April 2017,6,1,1,Imports,246,Finland,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,571,,2409391,,,0
HS,2017,201710,October 2017,6,1,1,Imports,246,Finland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3290,,4102607,,,0
HS,2017,201711,November 2017,6,1,1,Imports,246,Finland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,545,,898308,,,0
HS,2017,201711,November 2017,6,1,1,Imports,246,Finland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,530,,368827,,,0
HS,2017,201711,November 2017,6,1,1,Imports,246,Finland,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,739909,,,0
HS,2017,201704,April 2017,6,1,1,Imports,246,Finland,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,92488,,,0
HS,2017,201709,September 2017,6,1,1,Imports,246,Finland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,2713,,,0
HS,2017,201709,September 2017,6,1,1,Imports,246,Finland,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,601,,2740595,,,0
HS,2017,201709,September 2017,6,1,1,Imports,246,Finland,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,522,,796944,,,0
