Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201703,March 2017,6,1,1,Imports,276,Germany,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,54481,,,0
HS,2017,201704,April 2017,6,1,1,Imports,276,Germany,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,769,,,0
HS,2017,201704,April 2017,6,1,1,Imports,276,Germany,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,72,,,0
HS,2017,201704,April 2017,6,1,1,Imports,276,Germany,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,14845,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1067,,227034,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,42333,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1049,,808793,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,10916,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,28899,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,837,Bunkers,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,3595,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5019,,1124916,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2883,,15879138,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,5709,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,44223,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,32106,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,62,,120407,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,433,,692981,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,336,,102149,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6501,,11359852,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,635,,713129,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89,,49213,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,13908,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,56652,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,306,,260886,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,18327,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1382,,1106285,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,73,,112672,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,172,,205960,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,14502,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,285,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5971,,4287583,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29473,,40976199,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,45799,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,2830,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4249,,11364774,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,54674,,84541189,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,16698,,,0
HS,2017,201711,November 2017,6,1,1,Imports,276,Germany,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4761,,12938343,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,901,,1182898,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,258,,103671,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,3857,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,745,,436116,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,18420,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,10876,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,28351,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,37580,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,13655,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,26847,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,529906,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,278,,80329,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,101,,30035,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,208,,156807,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,383,,1004448,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33713,,27242643,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,283,,97893,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,214,Dominican Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,3613,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,272,,72546,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,352,Iceland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,7239,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,420,,586616,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,192,,279805,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,246,Finland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,205,,48674,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,292,Gibraltar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1126,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,788,Tunisia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1082,,,0
HS,2017,201711,November 2017,6,1,2,Exports,276,Germany,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,7227,,,0
HS,2017,201712,December 2017,6,1,1,Imports,276,Germany,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,195,,349154,,,0
HS,2017,201712,December 2017,6,1,1,Imports,276,Germany,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,738,,801033,,,0
HS,2017,201712,December 2017,6,1,1,Imports,276,Germany,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,59,,,0
HS,2017,201712,December 2017,6,1,1,Imports,276,Germany,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,70263,,,0
HS,2017,201704,April 2017,6,1,2,Exports,276,Germany,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23194,,7343550,,,0
HS,2017,201705,May 2017,6,1,2,Exports,276,Germany,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25667,,12302516,,,0
