Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201707,July 2017,6,1,1,Imports,304,Greenland,,20,Andorra,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,1712,,,0
HS,2017,201705,May 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115,,23660,,,0
HS,2017,201711,November 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,111,,27154,,,0
HS,2017,201711,November 2017,6,1,2,Exports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,16,,,0
HS,2017,201710,October 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,131,,32557,,,0
HS,2017,201706,June 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,179,,35360,,,0
HS,2017,201709,September 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,207,,34660,,,0
HS,2017,201703,March 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,159,,53809,,,0
HS,2017,201712,December 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,11531,,,0
HS,2017,201702,February 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,11136,,,0
HS,2017,201704,April 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,10985,,,0
HS,2017,201708,August 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,499,,75536,,,0
HS,2017,201701,January 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,123,,48322,,,0
HS,2017,201707,July 2017,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,97,,19566,,,0
HS,2017,201710,October 2017,6,1,2,Exports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,16,,,0
HS,2017,201705,May 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115,,23660,,,0
HS,2017,201711,November 2017,6,1,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,16,,,0
HS,2017,201711,November 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,111,,27154,,,0
HS,2017,201710,October 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,131,,32557,,,0
HS,2017,201706,June 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,179,,35360,,,0
HS,2017,201709,September 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,207,,34660,,,0
HS,2017,201702,February 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,11136,,,0
HS,2017,201703,March 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,159,,53809,,,0
HS,2017,201712,December 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,11531,,,0
HS,2017,201704,April 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,10985,,,0
HS,2017,201708,August 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,499,,75536,,,0
HS,2017,201701,January 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,123,,48322,,,0
HS,2017,201707,July 2017,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,17854,,,0
HS,2017,201710,October 2017,6,1,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,16,,,0
